,title,year,genre,mix,bpm,artist
0,All I See,1996,—,—,90,A+
1,Enjoy Yourself,1998,—,—,101,A+
2,Enjoy Yourself,1998,—,Radio Edit,101,A+
3,Party Joint,1996,—,—,90,A+
4,She Don't Love You,1997,—,—,102,A+
5,Caught In The Middle,2002,—,—,96,A1
6,Good For You,1993,—,Extended Mix,136,A 109
7,Luckier Charms,2010,—,Original Mix,70,A1 Bassline vs. Kavsrave
8,Luckier Charms,2010,—,Original Mix,70,A1 Bassline vs. Kavsrave
9,Walk Away,2009,—,—,74,A2O
10,Ain't Goin' To Goa,1997,—,—,88,A3
11,Come With Me,2014,—,Super Stylers Remix,128,A3
12,Es Lebe Der Sport,—,—,—,124,A3
13,Lass Mi Amoi No D'sunn Aufgeh Sehn,—,—,—,130,A3
14,Woke Up This Morning (theme From The Sopranos),2000,—,Chosen One Mix,89,A3
15,Woke Up This Morning (theme From The Sopranos),2000,—,—,89,A3
16,Woke Up This Morning (theme From The Sopranos),2000,—,Drillaz In The Church Mix,120,A3
17,Wake Up!,—,J-Pop,—,176,AAA
18,With You,—,—,—,134,AAA
19,One In A Million,2017,Pop,—,122,Aaliyah
20,One In A Million,2001,R&B,Dj Squeeze Mix,77,Aaliyah
21,Rock The Boat,2005,—,—,93,Aaliyah
22,The One I Gave My Heart To,1998,R&B,Soul Solution Club Mix,129,Aaliyah
23,The One I Gave My Heart To,1998,R&B,—,128,Aaliyah
24,Try Again,2004,Urban,—,100,Aaliyah
25,We Need A Resolution,2001,R&B,—,74,Aaliyah
26,Come Back In One Piece,2000,Hip-Hop,Clean Version,88,Aaliyah Feat. DMX
27,Miss You,2003,Hip-Hop,Remix,55,Aaliyah Feat. Jay-Z
28,Liquid Sweep,2002,Trance,Super8 Mix,138,Aalto
29,Burn Break Crash,2017,Dance,—,122,Aanysa x Snakehips
30,Harlem Anthem,2018,Urban,Explicit,112,A$AP Ferg
31,Harlem Anthem,2018,Urban,—,112,A$AP Ferg
32,Jet Lag,2020,Hip-Hop,PO Quick Edit,85,A$AP Ferg
33,Jet Lag,2020,Hip-Hop,Clean Edit,85,A$AP Ferg
34,Jet Lag,2020,Hip-Hop,Explicit,85,A$AP Ferg
35,Jet Lag,2020,Hip-Hop,PO Intro Edit,85,A$AP Ferg
36,Value,2020,Hip-Hop,PO Intro Edit - Clean,65,A$AP Ferg
37,Value,2020,Hip-Hop,PO Quick Edit - Clean,65,A$AP Ferg
38,Value,2020,Hip-Hop,PO Clean Edit,65,A$AP Ferg
39,Work,2014,Urban,EXPLICIT,64,A$AP Ferg
40,,,,,,
41,Work,2014,Urban,—,64,A$AP Ferg
42,Pups,2019,Hip-Hop,Dj Slique Intro Edit,97,A$AP Ferg ft. A$AP Rocky
43,Pups,2019,Hip-Hop,Dj Slique Quick Edit,97,A$AP Ferg ft. A$AP Rocky
44,Pups,2019,Hip-Hop,Explicit,97,A$AP Ferg ft. A$AP Rocky
45,Pups,2019,Hip-Hop,PO Clean Edit,97,A$AP Ferg ft. A$AP Rocky
46,Shabba,2013,Urban,—,60,A$AP Ferg ft. A$AP Rocky
47,Shabba,2013,Urban,EXPLICIT,120,A$AP Ferg ft. A$AP Rocky
48,Pups,2019,Hip-Hop,Dj Slique Intro Edit,97,A$AP Ferg ft. A$AP Rocky
49,Pups,2019,Hip-Hop,Dj Slique Quick Edit,97,A$AP Ferg ft. A$AP Rocky
50,Pups,2019,Hip-Hop,Explicit,97,A$AP Ferg ft. A$AP Rocky
51,Pups,2019,Hip-Hop,PO Clean Edit,97,A$AP Ferg ft. A$AP Rocky
52,Shabba,2013,Urban,—,60,A$AP Ferg ft. A$AP Rocky
53,Shabba,2013,Urban,EXPLICIT,120,A$AP Ferg ft. A$AP Rocky
54,World Is Mine,2016,Urban,—,56,A$AP Ferg ft. Big Sean
55,World Is Mine,2016,Urban,Promo Only Quick Edit*,56,A$AP Ferg ft. Big Sean
56,World Is Mine,2016,Hip-Hop,Clean,56,A$AP Ferg ft. Big Sean
57,World Is Mine,2016,Hip-Hop,Explicit,56,A$AP Ferg ft. Big Sean
58,World Is Mine,2016,Urban,Promo Only Intro Edit*,56,A$AP Ferg ft. Big Sean
59,World Is Mine,2016,Urban,—,56,A$AP Ferg ft. Big Sean
60,World Is Mine,2016,Urban,Promo Only Quick Edit*,56,A$AP Ferg ft. Big Sean
61,World Is Mine,2016,Hip-Hop,Clean,56,A$AP Ferg ft. Big Sean
62,World Is Mine,2016,Hip-Hop,Explicit,56,A$AP Ferg ft. Big Sean
63,World Is Mine,2016,Urban,Promo Only Intro Edit*,56,A$AP Ferg ft. Big Sean
64,New Level,2016,Urban,—,60,A$AP Ferg ft. Future
65,New Level,2016,Hip-Hop,Clean,60,A$AP Ferg ft. Future
66,New Level,2016,Hip-Hop,Explicit,60,A$AP Ferg ft. Future
67,WAM,2019,Hip-Hop,PO Clean Edit,96,A$AP Ferg ft. MadeinTYO
68,WAM,2019,Hip-Hop,PO Quick Edit,96,A$AP Ferg ft. MadeinTYO
69,WAM,2019,—,PO Intro Edit,96,A$AP Ferg ft. MadeinTYO
70,Back Hurt,2016,Hip-Hop,Explicit,71,A$AP Ferg ft. Migos
71,Plain Jane,2018,—,PO PopRoXxX Quick Edit - Remix,85,A$AP Ferg ft. Nicki Minaj
72,Plain Jane,2018,—,Explicit - Remix,85,A$AP Ferg ft. Nicki Minaj
73,Plain Jane,2018,—,PO PopRoXxX Intro Edit - Remix,85,A$AP Ferg ft. Nicki Minaj
74,Plain Jane,2018,—,PO Clean Edit - Remix,85,A$AP Ferg ft. Nicki Minaj
75,East Coast,2017,Hip-Hop,Intro Edit,67,A$AP Ferg ft. Remy Ma
76,East Coast,2017,Hip-Hop,Quick Edit,67,A$AP Ferg ft. Remy Ma
77,East Coast,2017,Hip-Hop,Clean Edit,67,A$AP Ferg ft. Remy Ma
78,East Coast,2017,Hip-Hop,Intro Edit,67,A$AP Ferg ft. Remy Ma
79,East Coast,2017,Hip-Hop,Quick Edit,67,A$AP Ferg ft. Remy Ma
