,title,year,genre,mix,bpm,artist
0,Funky Sista,2018,Dance,—,110,B00ty
1,Funky Sista,2018,—,PO Intro Edit,100,B00ty
2,Good For It,2018,Rock,—,108,B00ty
3,Funky Sista,2018,Dance,—,110,B00ty
4,Funky Sista,2018,—,PO Intro Edit,100,B00ty
5,Good For It,2018,Rock,—,108,B00ty
6,Badaboom,—,R&B,—,96,B2K
7,Bada Boom,2004,Urban,—,96,B2K
8,Bump That,2003,—,Clean,138,B2K
9,Girlfriend,2003,—,Johnny Rocks Main Squeeze Radio Edit,130,B2K
10,Girlfriend,2003,—,—,90,B2K
11,Gots Ta Be,2002,—,Andy & The Lamboy Club Mix,132,B2K
12,Gots Ta Be,2005,Dance,Andy & The Lamboy Edit,132,B2K
13,Gots Ta Be,2008,Top 40,—,66,B2K
14,Uh Huh,2007,Top 40,—,99,B2K
15,What A Girl Wants,—,—,—,140,B2K
16,,,,,,
17,Why I Love You,2002,—,—,90,B2K
18,"Bump, Bump, Bump",2003,Hip-Hop,—,96,B2K Feat. P. Diddy
19,"Bump, Bump, Bump",2003,Hip-Hop,Phatt Heads Remix,95,B2K Feat. P. Diddy
20,Badaboom,2004,—,—,96,B2K ft. Fabolous
21,Bada Boom,2004,Urban,—,96,B2K ft. Fabolous
22,"Bump, Bump, Bump",2006,—,Andy & The Lamboy Edit,115,B2K ft. P. Diddy
23,"Bump, Bump, Bump",2008,Top 40,—,95,B2K ft. P. Diddy
24,All I Do,2005,Top 40,—,63,B5
25,Get'cha Head In The Game,2006,—,90 sec version,113,B5
26,Say Yes,2013,Top 40,—,67,B5
27,Shining Star,2006,R&B,—,108,B5
28,Who's Afraid Of The Big Bad Wolf?,2006,—,—,101,B5
29,Funplex,2008,Rock,—,130,B-52's
30,Love Shack,2008,—,—,134,B-52's
31,Love Shack,1990,Pop,—,133,B52's
32,Hydrolics,2007,Urban,—,88,B5 ft. Bow Wow
33,International,2009,—,Groucho Remix,118,Baaba Maal
34,Harlem Shake,2013,—, Quick Edit,70,Baauer
35,Harlem Shake,2013,Dance,Original Mix,70,Baauer
36,Harlem Shake,2013,—,Radio Edit,70,Baauer
37,Harlem Shake,2013,—,—,70,Baauer
38,Yaow!,—,Dance,—,142,Baauer
39,Another Rainbow,2012,—,—,108,Baba B.
40,Capricho,2007,—,—,112,Babasonicos
41,Carismatico,2006,Latin Pop,—,137,Babasonicos
42,Cuello Rojo,2009,—,—,178,Babasonicos
43,Deshoras,2012,—,—,131,Babasonicos
44,El Colmo,2006,—,—,124,Babasonicos
45,Irresponsables,2004,Latin Pop,—,190,Babasonicos
46,Microdancing,2009,—,—,125,Babasonicos
47,Muneco De Haiti,2012,—,—,130,Babasonicos
48,Pijamas,2008,—,—,138,Babasonicos
49,Yegua,2006,Latin Pop,—,69,Babasonicos
50,,,,,,
51,Tilt,2014,Rock,—,113,Babe
52,Fade To Grey,2000,—,Scratch & Sniff Mix,136,Babe Instinct
53,The Mexican,—,—,—,112,Babe Ruth
54,Basketball,1999,—,—,94,Babe the Blue Ox
55,Figura De Mujer,2003,—,Dj Jay Mix,100,Babilonia Feat. Varon
56,Control,2014,Urban,—,70,Baby Aces
57,Control,2014,Urban,—,70,Baby Aces
58,Control,2014,Urban,—,70,Baby Aces
59,What Happened To That Boy,2003,Hip-Hop,—,93,Baby AKA The Birdman Feat. Clipse
60,Pina Colada Boy,2010,—,—,113,Baby Alice
61,Pina Colada Boy,2011,—,Radio Edit,113,Baby Alice
62,Down To Zero,2003,—,Original Mix,135,Baby Anne
63,London Blue,2006,—,Original Mix,136,Baby Anne
64,Down To Zero,2003,—,Original Mix,135,Baby Anne
65,London Blue,2006,—,Original Mix,136,Baby Anne
66,Disturbing The Beats,2014,Dance,—,128,Baby Anne ft. D-Bo
67,Mad Skillz,2013,Dance,—,128,Baby Anne ft. D-Bo
68,Aww,2018,Top 40,—,94,Baby Ariel
69,Butta Kup (Sweet Tooth),2010,—,—,85,Baby Bash
70,Cyclone,2007,—,—,78,Baby Bash
71,Menage a Trois,2004,Urban,—,75,Baby Bash
72,Na Na,2007,—,—,110,Baby Bash
73,Shorty Doowop,2004,Top 40,—,99,Baby Bash
74,Suga Suga,2004,R&B,Original,82,Baby Bash
75,Im Back,—,R&B,—,100,Baby Bash Ft Akon
76,Im Back,—,R&B,—,100,Baby Bash Ft Akon
77,Super Saucey,2005,—,—,80,Baby Bash ft. Avant
78,Super Saucy,2005,—,Main Version,80,Baby Bash ft. Avant
79,Super Saucy,2005,—,Instrumental,80,Baby Bash ft. Avant
80,Go Girl,2010,Top 40, Clean Edit,93,Baby Bash ft. E-40
81,Go Girl,2010,—,—,93,Baby Bash ft. E-40
82,Go Girl,2010,—,Instrumental,93,Baby Bash ft. E-40
83,Go Girl,2011,—,(Explicit),93,Baby Bash ft. E-40
84,Go Girl,2010,Top 40, Clean Edit,93,Baby Bash ft. E-40
85,Go Girl,2010,—,—,93,Baby Bash ft. E-40
86,Go Girl,2010,—,Instrumental,93,Baby Bash ft. E-40
87,Go Girl,2011,—,(Explicit),93,Baby Bash ft. E-40
88,Suga Suga,2007,Urban,—,83,Baby Bash ft. Frankie J
89,Suga Suga,2007,Urban,—,83,Baby Bash ft. Frankie J
90,Don't Stop,2008,—,Album Version,100,Baby Bash ft. Keith Sweat
91,Don't Stop,2008,—,Album Version,100,Baby Bash ft. Keith Sweat
92,Good For My Money,2010,Top 40,—,77,Baby Bash ft. Lloyd
93,Mamacita,2006,Top 40,—,89,Baby Bash ft. Marcos Hernandez
94,Mamacita,2006,Top 40,—,89,Baby Bash ft. Marcos Hernandez
95,Fantasy Girl,2010,—,—,120,Baby Bash ft. Marty James
96,Fantasy Girl,2010,—,—,120,Baby Bash ft. Marty James
97,Slide Over,2012,Urban,—,82,Baby Bash ft. Miguel
