,title,year,genre,mix,bpm,artist
0,Hooked On Coke,1999,—,Benji Candelario Mix,128,C12
1,Fly Me To The Moon,1999,—,Dub In Paradise Mix,128,C12 Feat. Madam X
2,Fly Me To The Moon,1999,—,Dub In Paradise Mix,128,C12 Feat. Madam X
3,Down The Road,2013,Top 40,—,111,C2C
4,I Come Alive,2017,Other,—,145,C3 Music
5,Twisted Logic,2004,—,Christian J Remix,132,C83 ft. Tamra
6,Vision Of You,2004,—,Nick Muir Vocal Mix,132,Cabala ft. Michelle Chivers
7,El Country Te Hara Bailar Otra Vez,2001,—,—,165,Caballo Dorado
8,Hay Un Tren A Las Cinco,2007,Country,—,96,Caballo Dorado
9,Hoy Empieza Mi Tristeza,2007,Country,—,101,Caballo Dorado
10,No Dejes De Bailar,2000,—,—,160,Caballo Dorado
11,Un Rodeo Buscando Voy,2009,Country,—,129,Caballo Dorado
12,I Want You,2014,Rock,7'' Version,137,Cabaret Voltaire
13,Nagnagnag,2003,—,Rhkirk #4 Remix,168,Cabaret Voltaire
14,Sensoria,2008,—,—,110,Cabaret Voltaire
15,Ana María,2002,—,—,87,Cabas
16,Bom Bom,2002,—,Club Mix Edit,105,Cabas
17,Bonita,2008,—,—,108,Cabas
18,Increible,2006,Latin Pop,—,78,Cabas
19,La Cadena De Oro,2005,Latin Pop,—,97,Cabas
20,La Cadena De Oro,2005,—,D-Menace Salsa Mix,97,Cabas
21,La Declaracion Del Bizco,2004,Latin Pop,—,101,Cabas
22,Mi Bombon,2002,—,Salsa Version,100,Cabas
23,Tu Boca,2003,—,Davidson Ospina Extended Club Mix,130,Cabas
24,Tu Boca,—,—,—,80,Cabas
25,,,,,,
26,La Cadena De Oro,2005,—,Reggaeton Version,97,Cabas ft. Trebol Clan
27,Left Lane,2012,—,(Explicit),73,Cabby ft. Yung Joc
28,"Come On With The ""come On""",—,—,Album: The Chu & Dizzy Years,311,Cab Calloway
29,The Jumpin' Jive,—,—,—,178,Cab Calloway
30,Star To Fall,2005,Dance,Radio Edit,127,Cabin Crew
31,Star To Fall,2005,—,—,128,Cabin Crew
32,Star To Fall,2005,—,Club Mix,127,Cabin Crew
33,Don't I Feel It?,2002,—,Original Mix,132,Cableguy
34,The Truth,2001,—,Original Mix,134,Cableguy
35,Roll Up,2006,—,Dirty,79,CAB Life
36,Encore Et Ancore,1985,—,—,82,Cabrel Francis
37,Step Right Up,1998,—,—,125,Cactus Choir
38,Worlds Apart,2017,Pop,—,62,Cactus World News
39,Big Bank Roll,2011,—,—,70,Caddy Da Don
40,Big Bank Roll,2011,Urban, Clean Edit,70,Caddy Da Don
41,Strip Club,2019,Dance,—,94,CADE ft. Lil Aaron
42,Conditioning,2012,Urban,—,96,Cadence Weapon
43,Real Estate,2009,—,Explicit,122,Cadence Weapon
44,Provider,2020,Christian,—,68,Cade Thompson
45,Treasures,2017,Top 40,—,65,Cade Thompson
46,Inside Out,2009,Christian,—,168,Cadia
47,Trust Me Now,2008,—,—,71,Cadia
48,Inside Out,2009,Christian,—,168,Cadia
49,Trust Me Now,2008,—,—,71,Cadia
50,Inside Out,2009,Christian,—,168,Cadia
51,Trust Me Now,2008,—,—,71,Cadia
52,Wish I Could Say I Was Drinking,2007,—,Album Version,166,Cadillac Sky
53,Crying Game,2015,Top 40,—,115,Cady Groves
54,Dreams,2015,Top 40,—,112,Cady Groves
55,Love Actually,2012,Top 40, Quick Edit,125,Cady Groves
56,Love Actually,2012,Top 40,—,125,Cady Groves
57,This Little Girl,2011,Top 40,—,75,Cady Groves
58,Before There Was Time,2002,—,—,107,Caedmon's Call
59,Hands Of The Potter,2003,—,—,98,Caedmon's Call
60,Need Your Love,2008,—,—,127,Caedmon's Call
61,Only Hope,2003,—,—,119,Caedmon's Call
62,Ten Thousand Angels,2008,—,—,91,Caedmon's Call
63,There Is A Reason,2007,—,Album Version,86,Caedmon's Call
64,There's Only One (Holy One),2004,—,—,116,Caedmon's Call
65,It's Not The Fall That Hurts,2005,—,—,146,Caesars
66,Jerk It Out,2005,—,Jason Nevins Extended Remix,134,Caesars
67,Jerk It Out,2005,Rock,—,136,Caesars
68,Jerk It Out,2005,—,Album Version,134,Caesars
69,Jerk It Out,2005,Top 40,New Single Edit,134,Caesars
70,Jerk It Out,2008,—,Jason Nevins Extended Remix Edit*,134,Caesars
71,Amor o Veneno,2013,—,—,90,Cafe Por Las Venas
