,title,year,genre,mix,bpm,artist
0,40 Oz.,2004,Urban,—,83,D12
1,Ain't Nuttin' But Music,2001,Hip-Hop,Original,99,D12
2,How Come,2004,Top 40,—,90,D12
3,How Come,2004,—,Extended Mix Instrumental,90,D12
4,How Come,2004,—,Extended Mix,90,D12
5,How Come & Git Up,2004,Urban,—,90,D12
6,My Band,2004,Urban,—,119,D12
7,My Band,2004,—,Reduced Salsa Mix,120,D12
8,My Band,2004,Urban,MTV Version,119,D12
9,Purple Hills,2007,Urban,—,125,D12
10,,,,,,
11,Purple Hills,2001,—,Xtra Clean Radio Version,63,D12
12,U R The One,2004,Urban,—,96,D12
13,The Joint Is Jumpin',2004,—,Blueroom Pumpin' Anthem Mixshow Edit,135,D1 Music ft. Lisa Hunt
14,Bad Habits,2005,—,Speedy's Skeleton's Mix,125,D2 ft. Dan Diamond
15,Bad Habits,2005,—,—,125,D2 ft. Dan Diamond
16,D.4,2001,—,B,143,D.4
17,Betcha Can't Do It Like Me,2006,Urban,EXPLICIT,75,D4L
18,Betcha Can't Do It Like Me,2006,—,—,75,D4L
19,Betcha Can't Do It Like Me,2006,Urban,PO Clean Edit,75,D4L
20,Laffy Taffy,2005,—,Instrumental,77,D4L
21,Laffy Taffy,2006,Urban,EXPLICIT,77,D4L
22,Laffy Taffy,2005,Urban,—,77,D4L
23,Laffy Taffy,2005,Urban,PO Clean Edit,77,D4L
24,Again,2020,Hip-Hop,Explicit,67,D4L Fabo
25,Victory,2004,Dance,—,98,Daan
26,Suge,2019,Urban,—,75,DaBaby
27,Suge,2019,Hip-Hop,PO Quick Edit,75,DaBaby
28,Suge,2019,Hip-Hop,PO Clean Edit,75,DaBaby
29,Vibez,2020,Hip-Hop,Dj Slique Quick Edit,77,DaBaby
30,Vibez,2020,Hip-Hop,Explicit,77,DaBaby
31,Vibez,2020,Hip-Hop,Clean Edit,77,DaBaby
32,Vibez,2020,Hip-Hop,Dj Slique Intro Edit,77,DaBaby
33,Baby Sitter,2019,Hip-Hop,Explicit,92,DaBaby ft. Offset
34,Baby Sitter,2019,—,PO Intro Edit,93,DaBaby ft. Offset
35,Baby Sitter,2019,Hip-Hop,PO Quick Edit,92,DaBaby ft. Offset
36,Baby Sitter,2019,Hip-Hop,PO Clean Edit,92,DaBaby ft. Offset
37,Rockstar,2020,Hip-Hop,PO Clean Edit,90,DaBaby ft. Roddy Ricch
38,You Gonna Luv Me,2005,—,—,76,Da Back Wudz
39,You Gonna Luv Me,2005,—,—,76,Da Back Wudz
40,I Don't Like The Look Of It,2006,—,—,73,Da Back Wudz ft. Caz Clay
41,Tonight,2004,—,—,98,Da Band
42,2 D Frutti,1997,—,—,140,Da Barnyard Click
43,Do Your Own Thing,2006,Dance,—,130,Dab Hands
44,Supergood 07 Style,2007,—,Vocal Mix,132,Dab Hands
45,Someting In De Muzik,2005,—,—,124,Da Bhann
46,Someting In De Muzik,2005,—,—,124,Da Bhann
47,Boom,2003,—,—,120,Da Brat
