,title,year,genre,mix,bpm,artist
0,Du Jour,2017,—,—,115,E1sbar
1,Du Jour,2016,Dance,Extended Version,115,E1sbar
2,Super Fantasy,2016,Dance,Extended Mix,91,E1sbar
3,The Replicas,2020,Electronica,Original Mix,130,E1sbar
4,U & Dat,2006,—,Album-Instrumental,100,E-40
5,U & Dat,2006,Hip-Hop,—,100,E-40
6,Yay Area,2006,Hip-Hop,—,102,E-40
7,U & Dat,2006,—,Album-Instrumental,100,E-40
8,U & Dat,2006,Hip-Hop,—,100,E-40
9,Yay Area,2006,Hip-Hop,—,102,E-40
10,Automatic,2002,Hip-Hop,—,96,E-40 Feat. Fabolous
11,Automatic,2002,Hip-Hop,—,96,E-40 Feat. Fabolous
12,Wake It Up,2008,—,—,108,E-40 ft. Akon
13,Wake It Up,2008,—,—,108,E-40 ft. Akon
14,Wake It Up,2008,—,—,108,E-40 ft. Akon
15,Wake It Up,2008,—,—,108,E-40 ft. Akon
16,Petty,2016,Hip-Hop,Instrumental,65,E-40 ft. Kamaiyah
17,Petty,2016,Hip-Hop,Explicit,65,E-40 ft. Kamaiyah
18,Petty,2016,Hip-Hop,Instrumental,65,E-40 ft. Kamaiyah
19,Petty,2016,Hip-Hop,Explicit,65,E-40 ft. Kamaiyah
20,Tell Me When To Go,2006,—,—,108,E-40 Ft Keak Da Sneak
21,Tell Me When To Go,2006,—,—,108,E-40 Ft Keak Da Sneak
22,Thick & Thin,2004,Urban,—,92,E-40 ft. Lil' Mo
23,Melt,2019,Hip-Hop,Explicit,100,E-40 ft. Milla
24,Melt,2019,Hip-Hop,Clean Edit,100,E-40 ft. Milla
25,Melt,2019,Hip-Hop,Explicit,100,E-40 ft. Milla
26,Melt,2019,Hip-Hop,Clean Edit,100,E-40 ft. Milla
27,Melt,2019,Hip-Hop,Explicit,100,E-40 ft. Milla
28,Melt,2019,Hip-Hop,Clean Edit,100,E-40 ft. Milla
29,Melt,2019,Hip-Hop,Explicit,100,E-40 ft. Milla
30,Melt,2019,Hip-Hop,Clean Edit,100,E-40 ft. Milla
31,Break Ya Ankles,2008,—,—,85,E-40 ft. Shawty Lo
32,Break Ya Ankles,2008,—,—,85,E-40 ft. Shawty Lo
33,Break Ya Ankles,2008,—,—,85,E-40 ft. Shawty Lo
34,U & Dat,2006,—,—,100,E-40 ft. T-Pain
35,U & Dat,2006,—,—,100,E-40 ft. T-Pain
36,U & Dat,2006,—,—,100,E-40 ft. T-Pain
37,U & Dat,2006,—,—,100,E-40 ft. T-Pain
38,U & Dat,2006,—,—,100,E-40 ft. T-Pain
39,Falling In Love,1999,—,—,104,Eagle-Eye Cherry
40,Falling In Love Again,1999,—,Remix,105,Eagle-Eye Cherry
41,Feels So Right,2001,—,—,121,Eagle-Eye Cherry
42,Indecision,1998,—,—,83,Eagle-Eye Cherry
43,Save Tonight,1998,—,—,120,Eagle-Eye Cherry
44,Busy Being Fabulous,2008,Country,—,100,Eagles
45,Heart Ache Tonight,—,—,—,96,Eagles
46,Hotel California,2012,—,—,76,Eagles
47,I Can't Tell You Why,—,Rock,—,84,Eagles
48,Lying Eyes,—,Rock,—,132,Eagles
49,Sweet Home Alabama,—,—,—,100,Eagles
50,Wasted Time,—,Rock,—,122,Eagles
51,Complexity,2015,Rock,—,145,Eagles Of Death Metal
52,I Only Want You,2004,Rock,—,174,Eagles Of Death Metal
53,I Want You So Hard (Boy's Bad News),2006,Rock,—,165,Eagles Of Death Metal
54,Speaking In Tongues,2004,Rock,—,146,Eagles Of Death Metal
55,Wannabe In L.A.,2008,—,—,158,Eagles Of Death Metal
56,Tonto's Drum,2001,—,Lexicon Avenue Remix,130,Eagles Prey
57,Velvet,2016,Rock,—,115,Eagulls
58,Act Right,2004,Hip-Hop,—,93,Eamon
59,F**k It (I Don't Want You Back),2004,Urban,—,68,Eamon
60,F**k It (I Don't Want You Back),2004,Top 40,MTV Edit,68,Eamon
61,F**K It (I Don't Want You Back),2004,—,Giuseppe D's Mix - Explicit),130,Eamon
62,F**K It (I Don't Want You Back),2004,Dance,Giuseppe D's Mix - Explicit Edit,130,Eamon
63,(How Could You) Bring Him Home,2006,—,—,71,Eamon
64,M.e.,—,—,—,63,Earl Brutus
65,Man On Fire,2017,Urban,—,120,Earl St. Clair
