,title,year,genre,mix,bpm,artist
0,Espejismo,2000,—,—,91,F2F
1,Ella Es Asi,2001,—,—,88,F2F Feat. Tito Gomez
2,Escondidos,2012,—,—,124,F3B
3,Escondidose,2011,—,—,124,F3B
4,I'll Never Get Over You,2008,—,(FAB Uptempo Pop Mix) ISV Video Mix by The Undeniable/D.Gauss,127,Fab
5,Second Chance,2007,—,—,65,Faber Drive
6,Second Chance,2007,—,Album Version,65,Faber Drive
7,Tongue Tied,2007,—,—,82,Faber Drive
8,Last Night A Dj Saved My Life,2002,—,"12"" Version",119,Fab Four feat. Robert Owens
9,Addictive Love,2017,—,—,94,Fabian
10,Addictive Love,2016,Country,Intro Edit,94,Fabian
11,Addictive Love,2016,Country,Quick Edit,94,Fabian
12,Amor Que Mata,2010,Salsa,—,86,Fabian
13,Dilema,2012,Salsa,—,92,Fabian
14,Todo El Ano Navidad,2011,—,—,110,Fabian
15,Brillante Sobre El Mic,2010,—,Original de Fito Paez,110,Fabiana Cantilo
16,Cinema,2016,Tech House,Original Mix,123,Fabian Argomedo
17,El 10,2016,Techno,Original Mix,124,Fabian Argomedo
18,Get Fresh Get Live,2014,Urban,—,90,Fabian Bates
19,Chamaquita Linda,2006,—,—,108,Fabian Gomez
20,Tu Tienes Que Vivir Conmigo,2006,—,—,137,Fabian Gomez
21,Y Como Quieres Que Te Quiera?,2003,—,—,148,Fabian Gomez
22,Take Me Away,2012,—,Bombs Away Remix,128,Fabian Gray ft. Yianna
23,Take Me Away,2012,—,Bombs Away Remix,128,Fabian Gray ft. Yianna
24,Set Me Free,2011,—,Haldo Remix,125,Fabio Bacchini
25,Back Into Time,2010,—,FG Organic Drums,118,Fabio Genito
26,Marenostrum,2009,—,FG Organic Mix,123,Fabio Genito
27,Trouble,2010,—,Drop The Lime Remix,128,Fabio Lendrum
28,Feel The Beat,2019,House,Extended Mix,126,Fabio Mek
29,Playa Den Bossa,2010,—,Piano Trippin' Mix,126,Fabio Tosti
30,Work It,2013,—,TnT Inc. Concept Mix,125,Fabio Tosti ft. Ronnie Canada
31,When He's Gone (ain't No Sunshine),2001,—,Sun Mix,140,Fable
32,You Be Killin Em,2011,Urban,Clean Version,94,Fabolous
33,Young'n (holla Back),2002,—,—,109,Fabolous
34,Young'n (Holla Back),2005,—,—,109,Fabolous
35,You Be Killin Em,2011,Urban,Clean Version,94,Fabolous
36,Young'n (holla Back),2002,—,—,109,Fabolous
37,Young'n (Holla Back),2005,—,—,109,Fabolous
38,Can't Deny It,2001,Hip-Hop,—,90,Fabolous Feat. Nate Dogg
39,Can't Deny It,2001,Hip-Hop,Amended Radio Edit,90,Fabolous Feat. Nate Dogg
40,Can't Deny It,2001,Hip-Hop,—,90,Fabolous Feat. Nate Dogg
41,Can't Deny It,2001,Hip-Hop,Amended Radio Edit,90,Fabolous Feat. Nate Dogg
42,Into You,2003,—,—,91,Fabolous Feat. Tamia
43,When I Feel Like It,2013,Urban,—,115,Fabolous ft. 2 Chainz
44,When I Feel Like It,2013,Urban,Radio Edit,115,Fabolous ft. 2 Chainz
45,When I Feel Like It,2013,Urban,Explicit,115,Fabolous ft. 2 Chainz
46,Ready,2013,Urban, Clean Edit,75,Fabolous ft. Chris Brown
47,Ready,2013,Urban,—,75,Fabolous ft. Chris Brown
48,"Money Goes, Honey Stay (When The Money Goes Remix)",2009,Urban,(Explicit),96,Fabolous ft. Jay-Z
49,It's My Time,2009,—,—,90,Fabolous ft. Jeremih
50,My Time,2009,—,—,90,Fabolous ft. Jeremih
51,It's My Time,2009,—,—,90,Fabolous ft. Jeremih
52,My Time,2009,—,—,90,Fabolous ft. Jeremih
53,It's My Time,2009,—,—,90,Fabolous ft. Jeremih
54,My Time,2009,—,—,90,Fabolous ft. Jeremih
55,"Everyday, Everything, Everywhere",2009,—,Radio Edit,95,Fabolous ft. Keri Hilson
56,"Everyday, Everything, Everywhere",2009,—,—,95,Fabolous ft. Keri Hilson
57,"Everything, Everyday, Everywhere",2009,Urban, Clean Edit Clean,95,Fabolous ft. Keri Hilson
58,"Everyday, Everything, Everywhere",2009,—,Radio Edit,95,Fabolous ft. Keri Hilson
