,title,year,genre,mix,bpm,artist
0,Hydrochronic,1997,Tech House,—,129,G-13
1,Say Da,2019,Dancehall,—,98,G9 ft. ZJ Liquid
2,Almost There,2002,—,—,75,Gabbie Nolen
3,Receipts,2020,R&B,Original Mix,86,Gabby B
4,I Hope,2019,Ballad,—,75,Gabby Barrett
5,I Hope,2020,Country,Pop Single Edit,75,Gabby Barrett ft. Charlie Puth
6,Hocus Pocus,2013,Urban,Radio Edit,70,Gabe Parker
7,Hey Mama,2011,—,Original Mix,125,Gabe Ramos
8,Mohana,2012,—,(Gerald Henderson & DJ Haro Remix,125,Gabe Ramos
9,All My People,2007,—,—,100,GabeReal ft. DJ Maj
10,Into My Soul,2005,Dance,—,135,Gabin
11,"Doo Uap, Doo Uap, Doo Uap",2002,—,Album Version,115,Gabin Feat. Stefano Di Battista
12,LA Changes You,2016,Top 40,—,108,Gabi Sklar
13,Dislecto,2006,—,Dub Mix,130,Gabriel
14,Pa Nosotros Dos,2016,Merengue Mambo,—,120,Gabriel
15,Pom Pom,2015,—,—,107,Gabriel
16,Thrill Of The Kill,2017,Rock,—,71,Gabriel And The Apocalypse
17,Generator,2006,—,Rick Preston Mix,124,Gabriel Black
18,Desnudo,2013,—,—,68,Gabriel Coronel
19,Yo Te Ame,2014,—,DJ Cubanito Klubjumpers Radio Edit,130,Gabriel Coronel
20,Yo Te Ame,2014,Pop,—,130,Gabriel Coronel
21,Desnudo,2013,—,—,68,Gabriel Coronel
22,Yo Te Ame,2014,—,DJ Cubanito Klubjumpers Radio Edit,130,Gabriel Coronel
23,Yo Te Ame,2014,Pop,—,130,Gabriel Coronel
24,Desnudo,2013,—,—,68,Gabriel Coronel
25,Yo Te Ame,2014,—,DJ Cubanito Klubjumpers Radio Edit,130,Gabriel Coronel
26,Yo Te Ame,2014,Pop,—,130,Gabriel Coronel
27,Desnudo,2013,—,—,68,Gabriel Coronel
28,Yo Te Ame,2014,—,DJ Cubanito Klubjumpers Radio Edit,130,Gabriel Coronel
29,Yo Te Ame,2014,Pop,—,130,Gabriel Coronel
30,Desnudo,2013,—,—,68,Gabriel Coronel
