,title,year,genre,mix,bpm,artist
0,High On The Dance Floor,2007,—,—,120,H2O PHlo
1,Imitation Leather Jacket,2000,—,Original Edit,100,H2SO4
2,Little Soul,1998,—,Original Mix,141,H2SO4
3,3 Murders 3 Nights,—,—,—,119,H3llb3nt
4,Amor A Medias,2005,Latin Pop,—,137,Ha*Ash
5,Estes Donde Estes,2004,—,—,132,Ha*Ash
6,Lo Que Yo Se De Ti,2009,—,—,76,Ha*Ash
7,Te Quedaste,2005,—,—,84,Ha*Ash
8,Tu Mirada En Mi,2005,Latin Pop,—,72,Ha*Ash
9,De Donde Sacas Eso,2012,—,—,70,Ha-Ash
10,Eso No Va a Suceder,2018,Reggaeton,—,100,Ha-Ash
11,Eso No Va A Suceder,2018,Latin,—,100,Ha-Ash
12,Lo Aprendi De Ti,2015,—,En Vivo,134,Ha-Ash
13,Lo Aprendi De Ti,2015,—,Primera Fila - Hecho Realidad (En Vivo Colombia),67,Ha-Ash
14,No Pasa Nada,2018,—,—,68,Ha-Ash
15,"Perdon, Perdon",2015,—,En Vivo,69,Ha-Ash
16,"Perdon, Perdon",2015,—,Primera Fila/Hecho Realidad/En Vivo,69,Ha-Ash
17,Se Que Te Vas,2016,—,—,125,Ha-Ash
18,Te Dejo En Libertad,2011,Latin Pop,—,72,Ha-Ash
19,,,,,,
20,De Donde Sacas Eso,2012,—,—,70,Ha-Ash
21,Eso No Va a Suceder,2018,Reggaeton,—,100,Ha-Ash
22,Eso No Va A Suceder,2018,Latin,—,100,Ha-Ash
23,Lo Aprendi De Ti,2015,—,En Vivo,134,Ha-Ash
24,Lo Aprendi De Ti,2015,—,Primera Fila - Hecho Realidad (En Vivo Colombia),67,Ha-Ash
25,No Pasa Nada,2018,—,—,68,Ha-Ash
26,"Perdon, Perdon",2015,—,En Vivo,69,Ha-Ash
27,"Perdon, Perdon",2015,—,Primera Fila/Hecho Realidad/En Vivo,69,Ha-Ash
28,Se Que Te Vas,2016,—,—,125,Ha-Ash
29,Te Dejo En Libertad,2011,Latin Pop,—,72,Ha-Ash
30,,,,,,
31,Already Home,2008,Ballad,—,71,Ha-Ash with Brandi Carlile
32,Gently Shifting People,2005,—,Relisys Momentary Lapse Of Reason Remix Ft. Steve Alex,126,Habersham
33,Big Man,2008,Country,—,124,Hadassah
34,Life,2010,Rock,—,129,Haddaway
35,Life,1993,—,Mission Control Mix,131,Haddaway
36,Rock My Heart,1994,—,Extended Mix,130,Haddaway
37,Stir It Up,1994,—,—,90,Haddaway
38,What Is Love,2008,Rock,—,124,Haddaway
39,What Is Love,2008,—,12' Club Edit*,124,Haddaway
40,What Is Love?,2006,—,—,126,Haddaway
41,What Is Love?,1993,—,"12"" Mix",124,Haddaway
42,What Is Love (Reloaded),2004,—,—,135,Haddaway
43,Up & Up,2013,—, Papercha$er No Rap Intro Edit*,128,Haddaway ft. The Mad Stuntman
