,title,year,genre,mix,bpm,artist
0,Rise & Fall,2004,—,Guiseppe D's Big Drum Mix,130,J.
1,Amazed,2020,Dance,PO Quick Edit - Kue's Forever Mix,124,J3RZE
2,Amazed,2020,Electronica,Extended,128,J3RZE
3,Amazed,2020,Dance,Kue's Forever Radio Edit,124,J3RZE
4,Amazed,2020,—,PO Intro Edit - Kue's Forever Mix,124,J3RZE
5,Rock Tonight,2010,—,Dave Aude Remix,129,J786
6,Rock Tonight,2010,Dance,Dave Aude Radio Edit,129,J786
7,Rock Tonight,2011,Dance,Ralphi Rosario Edit,127,J786
8,Gypsy Woman,2013,—,Original Mix,128,J8CK
9,Daze,2010,Urban,—,70,Ja-Bar ft. Soulja Boy Tell 'Em
10,Lets Harmonize,2008,—,Original Mix,131,Jab ft. Gaia
11,Lets Harmonize,2008,—,Original Mix,131,Jab ft. Gaia
12,Bad Things,2005,Country,—,131,Jace Everett
13,Nowhere In The Neighborhood,2006,—,—,74,Jace Everett
14,That's The Kind Of Love I'm In,2005,Country,—,122,Jace Everett
15,LOL Money,2011,—,(Explicit),89,Jace Hall ft. YTCracker
16,Thick,2011,—,Original Mix,126,Jaceo
17,Can't Keep It A Secret,2007,—,Josh Harris' Electrik Club Edit**,130,Jacinta
18,Can't Keep It A Secret,2007,—,Josh Harris' Elektrik Club Mix,130,Jacinta
19,Can't Keep It A Secret,2007,Dance,Josh Harris' Elektrik Club Edit*,130,Jacinta
20,Can't Keep It A Secret,2007,Dance,Josh Harris' Electrik Club Edit*,130,Jacinta
21,Can't Keep It A Secret,2007,—,Josh Harris' Elektrik Club Mix*,130,Jacinta
22,Can't Keep It A Secret,2007,—,Dave Aude Club Mix,129,Jacinta
23,Destination,2006,—,Aurora - Club Mix,130,Jacinta
24,Electric Universe,2009,—,Electrik Pulse Club Mix*,127,Jacinta
25,Electric Universe,2008,—,Extended Vocal Mix,128,Jacinta
26,Sunshine,2007,Dance,Tony Moran & Warren Rigg Edit*,133,Jacinta
27,,,,,,
28,Sunshine,2006,Dance,—,133,Jacinta
29,Sunshine,2006,—,Tony Moran & Warren Rigg Full Mix,133,Jacinta
30,Sunshine,2007,—,Tony Moran & Warren Rigg Full Mix*,133,Jacinta
31,Como Se Cura Una Herida,2001,—,—,77,Jaci Velasquez
32,Como Se Cura Una Herida,2001,—,Exclusive Mix,110,Jaci Velasquez
33,Jesus (The Way),2008,—,—,66,Jaci Velasquez
34,Llegar A Ti,1999,—,—,132,Jaci Velasquez
35,Loved By You,2007,—,Light Mix,115,Jaci Velasquez
36,Love Out Loud,2008,—,Album Version,58,Jaci Velasquez
37,Love Will Find You,1999,—,Georgie's Anthem,131,Jaci Velasquez
38,No Hace Falta Un Hombre,2003,—,Dj Fluid's Spanish Rhythmic Mix,137,Jaci Velasquez
39,No Hace Falta Un Hombre,2003,—,—,101,Jaci Velasquez
40,The Chipmunk Song (christmas Don't Be Late),2002,—,A Duet With Alvin & The Chipmunks,51,Jaci Velasquez
41,,,,,,
42,The Sound Of Your Voice,2012,—,Album Version,93,Jaci Velasquez
43,Unspoken,2004,—,—,95,Jaci Velasquez
44,You're My God,2003,—,—,120,Jaci Velasquez
45,Como Se Cura Una Herida,2001,—,—,77,Jaci Velasquez
46,Como Se Cura Una Herida,2001,—,Exclusive Mix,110,Jaci Velasquez
47,Jesus (The Way),2008,—,—,66,Jaci Velasquez
48,Llegar A Ti,1999,—,—,132,Jaci Velasquez
49,Loved By You,2007,—,Light Mix,115,Jaci Velasquez
50,Love Out Loud,2008,—,Album Version,58,Jaci Velasquez
51,Love Will Find You,1999,—,Georgie's Anthem,131,Jaci Velasquez
52,No Hace Falta Un Hombre,2003,—,Dj Fluid's Spanish Rhythmic Mix,137,Jaci Velasquez
53,No Hace Falta Un Hombre,2003,—,—,101,Jaci Velasquez
54,The Chipmunk Song (christmas Don't Be Late),2002,—,A Duet With Alvin & The Chipmunks,51,Jaci Velasquez
55,,,,,,
56,The Sound Of Your Voice,2012,—,Album Version,93,Jaci Velasquez
57,Unspoken,2004,—,—,95,Jaci Velasquez
58,You're My God,2003,—,—,120,Jaci Velasquez
59,Como Se Cura Una Herida,2001,—,—,77,Jaci Velasquez
60,Como Se Cura Una Herida,2001,—,Exclusive Mix,110,Jaci Velasquez
61,Jesus (The Way),2008,—,—,66,Jaci Velasquez
62,Llegar A Ti,1999,—,—,132,Jaci Velasquez
63,Loved By You,2007,—,Light Mix,115,Jaci Velasquez
64,Love Out Loud,2008,—,Album Version,58,Jaci Velasquez
65,Love Will Find You,1999,—,Georgie's Anthem,131,Jaci Velasquez
66,No Hace Falta Un Hombre,2003,—,Dj Fluid's Spanish Rhythmic Mix,137,Jaci Velasquez
67,No Hace Falta Un Hombre,2003,—,—,101,Jaci Velasquez
68,The Chipmunk Song (christmas Don't Be Late),2002,—,A Duet With Alvin & The Chipmunks,51,Jaci Velasquez
69,,,,,,
70,The Sound Of Your Voice,2012,—,Album Version,93,Jaci Velasquez
71,Unspoken,2004,—,—,95,Jaci Velasquez
72,You're My God,2003,—,—,120,Jaci Velasquez
73,Toxic Nation,2005,—,Mike Monday Dub,125,Jack Addicts
74,Say Yes,2012,—,Original Mix,65,Jackal
75,(It Happens) Sometimes,2019,—,PO Intro Edit,122,Jack Back
76,(It Happens) Sometimes,2019,Dance,—,122,Jack Back
77,Superstar DJ,2020,Techno,Extended,125,Jack Back
78,(It Happens) Sometimes,2019,—,PO Intro Edit,122,Jack Back
79,(It Happens) Sometimes,2019,Dance,—,122,Jack Back
80,Superstar DJ,2020,Techno,Extended,125,Jack Back
81,(It Happens) Sometimes,2019,—,PO Intro Edit,122,Jack Back
82,(It Happens) Sometimes,2019,Dance,—,122,Jack Back
83,Superstar DJ,2020,Techno,Extended,125,Jack Back
84,Out West,2020,Hip-Hop,—,70,JACKBOYS ft. Young Thug
85,Out West,2020,Hip-Hop,Explicit,70,JACKBOYS ft. Young Thug
86,Someday (Before U Get Bored),2020,Alternative,PO Clean Edit,98,Jack Bruno ft. The Strokes
87,Jubileum,2014,Techno,Krenz Remic,126,Jack Carter
88,Forever Young,2016,Dance,—,128,Jack Eye Jones ft. Nicky McDonald
89,Forever Young,2016,—,* Lyric Video,128,Jack Eye Jones ft. Nicky McDonald
90,Fire In Your Soul,2016,Dance,Todd Terry Radio Edit,123,Jack Eye Jones ft. Toni Etherson
91,Deepest Sleep,2012,—,Original Mix,120,Jack Fell Down
92,Worry,2016,Alternative,—,90,Jack Garratt
93,My Love,2020,R&B,PO Clean Edit,86,Jack Gilinsky ft. Don Toliver
94,What's Poppin,2020,Hip-Hop,PO Clean Edit,73,Jack Harlow
95,What's Poppin,2020,Hip-Hop,PO Quick Edit,73,Jack Harlow
96,What's Poppin,2020,Hip-Hop,PO Intro Edit,73,Jack Harlow
97,My Sweet Dreams,2006,—,DJ Jimmy V Dreamy Club Mix,130,Jacki Bianchino
98,Diosa,2010,Dance,Mambochata,114,Jackie Alicea
99,Diosa,2010,—,—,117,Jackie Alicea
100,Forever,2012,—,—,130,Jackie Alicea
101,My Man,2011,—,—,128,Jackie Alicea
102,Tonight,2013,—,—,123,Jackie Alicea ft. Franco 'El Gorila'
103,Tonight,2013,—,Remix Edit,123,Jackie Alicea ft. Franco 'El Gorila'
104,Work It,2015,Urban,—,71,Jackie Alyss
105,Rockin' That Trailer,2011,Country,—,120,Jackie Arredondo
106,Someone Like You,2010,Country,Radio Version,68,Jackie Arredondo
107,Do Not Disturb,2014,Urban,—,104,Jackie Boyz
108,Do Not Disturb,2014,Urban,—,104,Jackie Boyz
109,Do Not Disturb,2014,Urban,—,104,Jackie Boyz
110,Burn,2019,Top 40,—,90,Jackie Evancho
111,Crazy Comes Easy,2018,Top 40,—,81,Jackie Greene
112,Fall Away,2018,Other,Album,70,Jackie Hill Perry
113,Getting Over You,2017,Country,Lyric Video,85,Jackie Lee
114,Getting Over You,2017,Ballad,—,85,Jackie Lee
115,Headphones,2015,Country,—,114,Jackie Lee
116,She Does,2014,Country,—,92,Jackie Lee
117,Falling,2011,Dance,Mig & Rizzo Original Mix,132,Jackie Madden
118,Falling,2011,—,—,132,Jackie Madden
119,Taste,2013,Dance,Radio Mix,130,Jackie Madden
120,Taste,2013,Dance,—,130,Jackie Madden
121,Taste,2013,Dance, Quick Edit,130,Jackie Madden
122,Suddenly I See,2007,—,Almighty Anthem Mix,126,Jackie 'O'
123,You Can Have It All,2016,—,Extended Version,93,Jackie Tech
124,Work This Out,2000,—,—,125,Jack Ingram
125,Seeing Stars,2009,Ballad,—,74,Jack Ingram With Patty Griffin
126,Nookie Nookie,—,Reggae,—,120,Jacki-O
127,Sugar Walls,2004,—,Instrumental,117,Jacki-O
128,Sugar Walls,2004,—,—,117,Jacki-O
129,Break You Off,2005,—,—,100,Jacki-O ft. Jazze Pha
130,Fine,2004,Urban,Uncut Version,100,Jacki-O ft. Ying Yang Twins
131,Fine,2004,—,—,100,Jacki-O ft. Ying Yang Twins
132,Fine,2004,Urban,Uncut Version,100,Jacki-O ft. Ying Yang Twins
133,Fine,2004,—,—,100,Jacki-O ft. Ying Yang Twins
134,Flake,2002,—,—,98,Jack Jackson
135,Rodeo Clowns,2003,Rock,On & On Album Version,91,Jack Johnson
136,"Sitting, Waiting, Wishing",2005,Rock,—,105,Jack Johnson
137,Symbol In My Driveway,2003,Rock,On & On Album Version,89,Jack Johnson
138,Taylor,2004,Rock,—,87,Jack Johnson
139,Taylor,2003,Rock,On & On Album Version,87,Jack Johnson
140,The 3 R's,2006,Rock,—,98,Jack Johnson
141,The Horizon Has Been Defeated,—,—,—,84,Jack Johnson
142,Times Like These,2003,Rock,On & On Album Version,72,Jack Johnson
143,Together Forever,—,—,—,135,Jack Johnson
144,Tomorrow Morning,2003,Rock,On & On Album Version,70,Jack Johnson
145,,,,,,
146,Traffic In The Sky,2003,Rock,On & On Album Version,66,Jack Johnson
147,Upside Down,2006,Top 40,—,103,Jack Johnson
148,Wasting Time,2003,—,—,72,Jack Johnson
149,You & Your Heart,2010,—,—,107,Jack Johnson
150,Bubble Toes,2009,—,—,96,Jack Johnson ft. Lebo
151,Flake,2016,—,Live In San Diego,98,Jack Johnson With Ben Harper
152,Flake,2016,—,Live In San Diego,98,Jack Johnson With Ben Harper
153,Flake,2016,—,Live In San Diego,98,Jack Johnson With Ben Harper
154,Flake,2016,—,Live In San Diego,98,Jack Johnson With Ben Harper
155,#AAHM (All About House Music),2013,—,Supermercado Mix,125,"Jack, Joy vs Menini, Viani ft. Greg Stainer"
156,America Moves By Truck,2004,—,—,78,Jack Kapanka
