,title,year,genre,mix,bpm,artist
0,Boys Or Girls,2010,Dance, Clean Edit Funk Generation Radio Mix,130,L2
1,Insomnia,2012,—,—,128,L2
2,Insomnia,2012,—, Quick Edit,128,L2
3,Insomnia,2012,—,Mike Rizzo Funk Generation Club Mix - Danny Morris Video Edit,128,L2
4,Insomnia,2012,—,Funk Generation Club Remix,128,L2
5,Pretend We're Dead,2018,Pop,—,115,L7
6,La Baraja,2004,—,Clean Radio Edit,77,La 1 Banda Jerez
7,Ahora Que Te Vas,2007,—,—,125,La 5a Estacion
8,Daria,2005,Latin Pop,—,133,La 5a Estacion
9,La Frase Tonta De La Semana,2008,—,—,76,La 5a Estacion
10,Me Muero,2007,—,—,85,La 5a Estacion
11,Perdicion,2006,Latin Pop,—,71,La 5a Estacion
12,Que Te Queria,2009,—,—,143,La 5a Estacion
13,Tu Peor Error,2006,Latin Pop,—,98,La 5a Estacion
14,Sueno Roto,2007,—,—,68,La 5ta Estacion
15,Despues De Ti Quien,2015,Banda,—,62,La Adictiva Banda San Jose De Mesillas
16,Durmiendo En El Lugar Equivocado,2017,Banda,—,65,La Adictiva Banda San Jose De Mesillas
17,El Pasado Es Pasado,2012,Banda,—,72,La Adictiva Banda San Jose De Mesillas
18,En Peligro De Extincion,2018,Banda,—,62,La Adictiva Banda San Jose De Mesillas
19,Mueveme El Pollo,2010,Banda,—,155,La Adictiva Banda San Jose De Mesillas
20,Nada Iguales,2011,Banda,—,125,La Adictiva Banda San Jose De Mesillas
21,Te Amo Y Te Amo,2012,—,Tribal Remix,132,La Adictiva Banda San Jose De Mesillas
22,Te Diran,2016,Banda,—,48,La Adictiva Banda San Jose De Mesillas
23,Despues De Ti Quien,2015,Banda,—,62,La Adictiva Banda San Jose De Mesillas
24,Durmiendo En El Lugar Equivocado,2017,Banda,—,65,La Adictiva Banda San Jose De Mesillas
25,El Pasado Es Pasado,2012,Banda,—,72,La Adictiva Banda San Jose De Mesillas
26,En Peligro De Extincion,2018,Banda,—,62,La Adictiva Banda San Jose De Mesillas
27,Mueveme El Pollo,2010,Banda,—,155,La Adictiva Banda San Jose De Mesillas
28,Nada Iguales,2011,Banda,—,125,La Adictiva Banda San Jose De Mesillas
29,Te Amo Y Te Amo,2012,—,Tribal Remix,132,La Adictiva Banda San Jose De Mesillas
30,Te Diran,2016,Banda,—,48,La Adictiva Banda San Jose De Mesillas
31,Donde Estaras?,2012,—,—,106,La Apuesta
32,Llegaste A Mi,2011,—,—,132,La Apuesta
33,Por Primera Vez,2010,—,—,144,La Apuesta
34,El Ruido De Tus Zapatos,2013,Banda,—,68,La Arrolladora Banda El Limon
35,Llamada De Mi Ex,2012,—,—,67,La Arrolladora Banda El Limon
36,Lo Hiciste Otra Vez,2014,Banda,—,63,La Arrolladora Banda El Limon
37,Ya Es Muy Tarde,2009,Banda,—,108,La Arrolladora Banda El Limon
38,Yo Si Te Ame,2016,Banda,—,63,La Arrolladora Banda El Limon De Rene Camacho
39,Yo Si Te Ame,2016,Banda,—,63,La Arrolladora Banda El Limon De Rene Camacho
40,Lagrimas De Juventud,2008,—,—,139,La Autoridad De La Sierra
41,Lena Verde,2006,—,—,106,La Autoridad De La Sierra
42,Que Haria Sin Ti,2007,—,—,126,La Autoridad De La Sierra
43,Tienes Que Saber,2009,—,—,148,La Autoridad De La Sierra
44,Todo Cambio,2009,—,—,134,La Autoridad De La Sierra
45,Lagrimas De Juventud,2008,—,—,139,La Autoridad De La Sierra
46,Lena Verde,2006,—,—,106,La Autoridad De La Sierra
47,Que Haria Sin Ti,2007,—,—,126,La Autoridad De La Sierra
48,Tienes Que Saber,2009,—,—,148,La Autoridad De La Sierra
49,Todo Cambio,2009,—,—,134,La Autoridad De La Sierra
50,Pegadita De Los Hombres,2017,—,—,150,La Banda
51,Asi Es Que La Quiero,2000,—,—,164,La Banda Bella
