,title,year,genre,mix,bpm,artist
0,Pop Musik,2009,Rock,—,109,M
1,The Party,2005,—,Maurice Mix,128,M
2,Die In Your Arms Tonight,2018,—,NigelL12 Remix,500,M1dlet
3,Die In Your Arms Tonight,—,—,—,250,M1dlet
4,E1m1,—,—,—,250,M1dlet
5,Egao No Mira E,—,—,—,250,M1dlet
6,Friday Speedcore Mix,—,—,—,240,M1dlet
7,Jausmas Kai Zudai,—,—,—,225,M1dlet
8,Love To Hate,—,Hardcore,—,250,M1dlet
9,Mah Ding Dong,—,Hardcore,—,260,M1dlet
10,Mundian To Bach Speedcore,—,Hardcore,—,250,M1dlet
11,Resist,—,Hardcore,—,235,M1dlet
12,,,,,,
13,Tell Me Why Speedcore Is So Awesome,—,Hardcore,—,200,M1dlet
14,Sex Friend Bomb The Bass,—,—,—,227,m1dy
15,Sex Friend Speeeed Bass,—,—,—,250,m1dy
16,Speedcore Dandy,—,—,—,432,m1dy
17,Speedcore Here We Go,—,—,—,400,m1dy
18,Tokyo Style Speedcore,—,—,—,396,m1dy
19,Sex Friend Bomb The Bass,—,—,—,227,m1dy
20,Sex Friend Speeeed Bass,—,—,—,250,m1dy
21,Speedcore Dandy,—,—,—,432,m1dy
22,Speedcore Here We Go,—,—,—,400,m1dy
23,Tokyo Style Speedcore,—,—,—,396,m1dy
24,Pogo,2014,Dance,Dom Tufaro Tune~Adiks Remix,130,M1ndjack
25,Can't Stop Loving You,2020,House,Extended Mix,124,M-22
26,How Does It Feel,2018,Electronica,—,120,M-22
27,How Does It Feel,2018,Dance,Lyric Video,120,M-22
28,White Lies,2019,House,Extended Mix,124,M-22
29,Can't Stop Loving You,2020,House,Extended Mix,124,M-22
30,How Does It Feel,2018,Electronica,—,120,M-22
31,How Does It Feel,2018,Dance,Lyric Video,120,M-22
32,White Lies,2019,House,Extended Mix,124,M-22
33,After Hours,2019,House,OFFAIAH Remix,124,M-22 ft. Kiara Nelson
34,After Hours,2019,House,Extended Mix,124,M-22 ft. Kiara Nelson
35,First Time,2018,House,—,124,M-22 ft. Medina
36,Don't,2002,—,Radio Remix,106,M2M
37,Don't Say You Love Me,1999,—,—,97,M2M
38,Everything,2002,—,—,127,M2M
39,Mirror Mirror,2000,—,—,100,M2M
40,Promise,2015,Urban,—,92,M 2 Tha O
41,Bailamos,1999,—,Matt Darey Mix,140,M3
42,Bailamos,1999,—,Matt Darey Mix,140,M3
43,Next To You,2012,—,Original Mix,128,M-3OX ft. Dan Brown
44,Beating Of My Heart,2013,—, Matisse & Sadko Quick Edit - Remix,128,M-3ox ft. Heidrun
45,Beating Of My Heart,2013,Dance,Matisse & Sadko Remix,128,M-3ox ft. Heidrun
46,Beating Of My Heart,2013,—,Matisse & Sadko Remix Edit,128,M-3ox ft. Heidrun
47,Beating Of My Heart,2013,—, Matisse & Sadko Intro Edit - Remix,128,M-3ox ft. Heidrun
48,Beating Of My Heart,2013,—, Matisse & Sadko Quick Edit - Remix,128,M-3ox ft. Heidrun
49,Beating Of My Heart,2013,Dance,Matisse & Sadko Remix,128,M-3ox ft. Heidrun
50,Beating Of My Heart,2013,—,Matisse & Sadko Remix Edit,128,M-3ox ft. Heidrun
51,Beating Of My Heart,2013,—, Matisse & Sadko Intro Edit - Remix,128,M-3ox ft. Heidrun
52,Chaos,2014,Dance,—,140,M4SONIC
53,Chaos,2014,Dance,—,140,M4SONIC
54,Road Blaster,2017,—,Lauer Remix,125,M83
55,Run Into Flowers,2004,—,Midnight F**k Remix,120,M83
56,Steve McQueen,2013,Dance,Salm Remix,126,M83
57,Steve McQueen,2013,—,BeatauCue Remix,70,M83
58,Steve McQueen,2014,Rock,—,142,M83
59,Go!,2017,House,KC Lights Remix,123,M83 ft. Mai Lan
60,Nights With You,2017,Top 40,—,120,MA
61,Nights With You,2017,Dance,Cheat Codes Remix,116,MA
62,Fabricated Nonsence,2002,—,Original Mix,130,Maa Bell Vs Taboada
63,Black Ice,2016,Top 40,—,100,Maad
64,Black Ice,2016,Top 40,—,100,Maad
65,Believe,2018,Dance,Ikki Remix,100,Maartin Rubik
66,70's Born,2010,—,Original Mix,122,Maasa
67,Bad Behaviour,2019,Top 40,—,107,Mabel
68,Bedroom,2017,Dance,—,97,Mabel
69,Boyfriend,2020,Top 40,—,100,Mabel
70,Don't Call Me Up,2019,Top 40,—,99,Mabel
71,Don't Call Me Up,2019,Pop,PopRoXxX Quick Edit,98,Mabel
72,Don't Call Me Up,2019,—,PopRoXxX Intro Edit,99,Mabel
73,Mad Love,2019,Top 40,—,99,Mabel
74,Mad Love,2019,Dance,PO Quick Edit - Blinkie Remix,123,Mabel
75,Mad Love,2019,Dance,Blinkie Remix,123,Mabel
76,Mad Love,2019,House,Syn Cole Remix - Extended,122,Mabel
77,,,,,,
78,Mad Love,2019,Dance,PO Intro Edit - Blinkie Remix,123,Mabel
79,Love Is The Only Way,2013,Rock,—,90,Macaco
80,Moving,2011,—,—,155,Macaco
81,Tengo,2013,Rock,—,112,Macaco
82,Roses Are Red,2009,Rock,—,108,Mac Band ft. The McCampbell Brothers
83,Boss Tycoon,—,Hip-Hop,Album,89,Mac Dre
84,Thizzle Dance,—,Hip-Hop,Album/radio Edit,95,Mac Dre
85,Caught,2012,Top 40,—,85,Macedo
86,Go Sit Down,2005,—,—,140,Maceo
87,Splashin,—,Soul,—,105,Maceo Parker
88,Ride The Rhythmz,2005,—,Club Mix,138,MacGuyver vs. Myers
89,Dance With You,2006,—,Remix,110,Machael Montano ft. Mr. Vegas
90,Dance With You,2006,—,Remix,110,Machael Montano ft. Mr. Vegas
91,Different Wine,2014,—,—,120,Machel Montano
92,Drinking Rum,2013,—,—,130,Machel Montano
93,Leave Me,2019,—,—,121,Machel Montano
94,Lip Service,2017,—,—,110,Machel Montano
95,Losing It,2015,—,—,162,Machel Montano
96,Madder Dan Dat,2005,—,—,150,Machel Montano
97,Push Bumpers,2009,—,—,112,Machel Montano
98,Slow Wine,2020,—,—,98,Machel Montano ft. Afro B
99,Wooeeii Gyal Wooeeii,2010,—,—,134,Machel Montano ft. Busy Signal
100,Fly Away,2009,—,—,107,Machel Montano ft. Collie Buddz
101,Fly Away,2009,—,—,107,Machel Montano ft. Collie Buddz
102,Whining Season,2008,—,Remix,113,Machel Montano HD ft. Shaggy
103,Whining Season,2008,—,Remix,113,Machel Montano HD ft. Shaggy
104,The Road,2019,—,—,80,Machel Montano x Ashanti
105,Y Si Tu Te Vas,2018,—,—,128,Machete ft. Mygal X
106,Pressure Sway,2019,Pop,—,141,Machinations
107,Massive,2003,House,Vocal Mix,131,Machine Gun
108,27,2018,Top 40,—,85,Machine Gun Kelly
109,Golden God,2018,Urban,Explicit,65,Machine Gun Kelly
110,Habits,2018,Top 40,Explicit,72,Machine Gun Kelly
111,Lately,2018,Urban,Explicit,75,Machine Gun Kelly
112,Loco,2018,Urban,Explicit,71,Machine Gun Kelly
113,Till I Die,2016,Urban,EXPLICIT,110,Machine Gun Kelly
114,why are you here,2020,AlternRock,Clean Edit,129,Machine Gun Kelly
115,World Series,2016,Urban,EXPLICIT,111,Machine Gun Kelly
