,title,year,genre,mix,bpm,artist
0,Guilty Conscience,2020,Alternative,—,90,070 Shake
1,I Laugh When I'm With Friends But Sad When I'm Alone,2018,Urban,Explicit,110,070 Shake
2,Mirrors,2018,Urban,Explicit,123,070 Shake
3,Because The Night,1993,—,—,123,"10,000 Maniacs"
4,Like The Weather,2007,—,—,133,"10,000 Maniacs"
5,More Than This,2004,—,—,124,"10,000 Maniacs"
6,More Than This,1997,—,Todd Terry Radio Mix,125,"10,000 Maniacs"
7,Rainy Day,1997,—,—,105,"10,000 Maniacs"
8,(not The) Greatest Rapper,1999,—,—,96,1000 Clowns
9,(not The) Greatest Rapper,1999,—,Album Version,96,1000 Clowns
10,Could Be Me,2011,—,—,93,1000 Generations
11,Could Be Me,2011,—,—,93,1000 Generations
12,Things We Do For Love,2004,Top 40,—,104,10cc
13,City Of Angels,2006,—,—,190,10 City Run
14,City Of Angels,2006,—,—,190,10 City Run
15,Lay Down,2006,—,Hex Hector Radio,132,10 Monkeys ft. Abigail
16,Backlash,2012,Alternative,—,74,10 Years
17,Beautiful,2008,—,—,66,10 Years
18,Burnout,2018,Rock,—,89,10 Years
19,Dancing With The Dead,2012,Alternative,—,75,10 Years
20,Fix Me,2011,Alternative,—,79,10 Years
21,Knives,2012,Rock,—,80,10 Years
22,Miscellanea,2015,Rock,—,85,10 Years
23,Shoot It Out,2010,—,—,164,10 Years
24,"So Long, Good-Bye",2008,—,—,72,10 Years
25,Wasteland,2005,Rock,—,75,10 Years
26,,,,,,
27,Dance With Me,2006,—,—,102,112
28,Dance With Me,—,Hip-Hop,Original/funkymix,102,112
29,Dance With Me,2001,R&B,Club Mix,96,112
30,Hot And Wet,2003,R&B,Hot And Wet,104,112
31,It's Over Now,2007,Top 40,—,98,112
32,Na Na Na Na,2003,Hip-Hop,Original,99,112
33,Only You,1996,—,Remix,96,112
34,Only You,—,R&B,—,96,112
35,Peaches & Cream,2013,Urban, Quick Edit*,102,112
36,Peaches & Cream,2013,Urban,—,102,112
37,,,,,,
38,U Already Know,2005,Urban,—,87,112
39,U Already Know,2005,—,Instrumental,87,112
40,What If,2005,Urban,—,67,112
41,Your Letter,1999,—,—,69,112
42,Anywhere,1999,—,—,63,112 Feat. Lil' Z
43,Love Me,1998,—,—,90,112 Feat. Ma$e
44,Love Me,1998,—,—,90,112 Feat. Ma$e
45,U Already Know,2005,—,Remix,87,112 ft. Foxy Brown
46,Anywhere,2014,Rock,—,63,112 ft. Lil' Z
47,Anywhere,2014,Rock,—,63,112 ft. Lil' Z
48,Anywhere,2014,Rock,—,63,112 ft. Lil' Z
49,Anywhere,2014,Rock,—,63,112 ft. Lil' Z
50,Live Forever,2020,Christian,—,78,116
51,LIGHT WORK,2018,Other,—,71,116 Clique
52,LIGHT WORK,2018,Other,—,71,116 Clique
53,Devochka,2011,—,Original Mix,127,123XYZ
54,Dunkie Butt,2005,Urban,—,144,12 Gauge
55,Adrenaline,2008,Rock,—,172,12 Stones
56,Broken,2004,Country,—,97,12 Stones
57,Crash,2003,—,—,75,12 Stones
58,Far Away,2004,—,—,66,12 Stones
59,Lie To Me,2007,—,—,79,12 Stones
60,Photograph,2005,Rock,—,62,12 Stones
61,The Way I Feel,2004,Country,—,77,12 Stones
62,Resonator,2001,—,Original Mix,140,12th Hour
63,Grateful,2018,Pop,—,95,13 Crowns ft. Poo Bear
64,Black Soul Choir,1996,—,—,109,16 Horsepower
65,Bottle Rockets,—,—,—,82,16 Volt
66,Built To Last,—,—,—,172,16 Volt
67,Downtime Ii,—,—,—,95,16 Volt
68,Flick,—,—,Hidden Skin Remix,113,16 Volt
69,I Ain't Going Out Like That,—,—,—,94,16 Volt
70,Perfectly Fake,—,—,—,96,16 Volt
71,Skin,—,—,—,113,16 Volt
72,Skin Graft,—,—,—,114,16 Volt
73,Slow Wreck,—,—,—,86,16 Volt
74,Stitched,—,—,—,100,16 Volt
75,,,,,,
76,Uplift,—,—,—,244,16 Volt
77,Gunman,1997,—,Original Nu-jak Mix,128,187 Lockdown
78,Gunman,1997,—,Original Nu-jak Mix,128,187 Lockdown
79,A Fearless Heart,2009,—,—,74,1997
80,Collide,2015,Rock,—,89,1 Echo 1
81,Collide,2015,Rock,—,89,1 Echo 1
82,Count Your Rainbows,2014,Other,—,114,1 Girl Nation
83,Turn Around,2013,Other,Album,60,1 Girl Nation
84,Guard Your Heart,2017,Other,Radio Mix,70,1GN
85,Better Days,2019,Christian,—,74,1K Phew
86,Show Love,2019,Other,—,70,1K Phew
87,x10,2019,Christian,—,85,1K Phew ft. Aha Gazelle
88,x10,2019,Christian,—,85,1K Phew ft. Aha Gazelle
89,x10,2019,Christian,—,85,1K Phew ft. Aha Gazelle
90,Nascar,2018,Hip-Hop,A Cappella - Explicit,155,1PLAYY
91,Nascar,2018,Hip-Hop,Explicit,155,1PLAYY
92,Nascar,2018,Hip-Hop,Instrumental,155,1PLAYY
93,2 Much Motion,2018,—,Explicit,75,1PLAYY ft. Juugman
94,Cherry Bomb,2000,—,—,128,1 Plus 1
95,Working My Wrist,2011,Urban,EXPLICIT,88,1st Kuzzins ft. Lil Keke
96,Working My Wrist,2011,—,(Explicit),88,1st Kuzzins ft. Lil Keke
97,Bird Of Paradise,2011,—,Sir Morbit Remix,70,1 Undread
98,Lick It,1995,Dance,Radio Edit,127,20 Fingers
99,Short Dick Man (x-rated),1994,—,Club Mix,127,20 Fingers
100,Short Short Man,1994,—,—,127,20 Fingers
101,Mr Personality,1995,Dance,Radio Edit,133,20 Fingers Feat Gilette
102,Dollar Bill,—,Hip-Hop,—,93,213
103,Groupie Love,2004,Urban,—,97,213
104,Groupie Luv,2004,—,—,97,213
105,Groupie Luv,2004,—,Instrumental,97,213
106,Hey Hey,2006,Hip-Hop,—,97,216
107,"Hey, Hey",2006,Urban,—,94,216
108,The Heart (Save Me),2014,Rock,—,96,21Octayne
109,Bank Account,2017,Hip-Hop,Quick Edit,75,21 Savage
110,Bank Account,2017,Hip-Hop,Intro Edit,75,21 Savage
111,Bank Account,2017,Hip-Hop,Clean Edit,75,21 Savage
112,Monster,2019,Hip-Hop,PO Clean Edit,67,21 Savage ft. Childish Gambino
113,Monster,2019,Hip-Hop,Explicit,68,21 Savage ft. Childish Gambino
114,a lot,2019,Urban,Explicit,73,21 Savage ft. J. Cole
115,a lot,2019,Urban,—,73,21 Savage ft. J. Cole
116,a lot,2019,Hip-Hop,Clean Edit,73,21 Savage ft. J. Cole
117,Secret,2020,Hip-Hop,Clean Edit,65,21 Savage ft. Summer Walker
118,Secret,2020,Hip-Hop,Clean Edit,65,21 Savage ft. Summer Walker
119,Secret,2020,Hip-Hop,Clean Edit,65,21 Savage ft. Summer Walker
120,Secret,2020,Hip-Hop,Clean Edit,65,21 Savage ft. Summer Walker
121,Devil In Me,2005,Rock,—,109,22-20's
122,Spin The Block,2019,Urban,Explicit,98,22Gz ft. Kodak Black
123,Never Gonna Let You Go,2009,—,E-Squire Mix,128,22 Lockdown
124,The Way I Do,2007,—,Special Radio Version,128,2-4 Groove's
125,The Way I Do,2007,—,Tribal-Electro Club Mix,129,2-4 Groove's
126,The Way I Do,2007,—,Special Radio Version,128,2-4 Groove's
127,The Way I Do,2007,—,Tribal-Electro Club Mix,129,2-4 Groove's
128,24 Horas,2010,Bachata,—,128,24 Horas
129,Mami Dame Un Beso,2011,—,—,130,24 Horas
130,No Puedo Creer (I Just Can't Believe),2011,Bachata,—,132,24 Horas
131,You Know,2016,Hip-Hop,Clean,65,24hrs
132,You Know,2016,Hip-Hop,Promo Only Quick Edit,65,24hrs
133,You Know,2016,Hip-Hop,Explicit,65,24hrs
134,You Know,2016,Hip-Hop,Promo Only Intro Edit,65,24hrs
135,You Know,2016,Hip-Hop,Clean,65,24hrs
136,You Know,2016,Hip-Hop,Promo Only Quick Edit,65,24hrs
137,You Know,2016,Hip-Hop,Explicit,65,24hrs
138,You Know,2016,Hip-Hop,Promo Only Intro Edit,65,24hrs
139,You Know,2016,Hip-Hop,Clean,65,24hrs
140,You Know,2016,Hip-Hop,Promo Only Quick Edit,65,24hrs
141,You Know,2016,Hip-Hop,Explicit,65,24hrs
142,You Know,2016,Hip-Hop,Promo Only Intro Edit,65,24hrs
143,You Know,2016,Hip-Hop,Clean,65,24hrs
144,You Know,2016,Hip-Hop,Promo Only Quick Edit,65,24hrs
145,You Know,2016,Hip-Hop,Explicit,65,24hrs
146,You Know,2016,Hip-Hop,Promo Only Intro Edit,65,24hrs
147,Don't Go There,1995,—,—,139,24K
148,City Of Angels,2020,AlternRock,—,120,24KGoldn
149,Valentino,2019,Hip-Hop,PO Quick Edit,76,24KGoldn
150,Valentino,2019,Hip-Hop,PO Intro Edit,76,24KGoldn
151,Valentino,2019,Hip-Hop,Explicit,76,24KGoldn
152,Valentino,2019,Hip-Hop,Instrumental,76,24KGoldn
153,Valentino,2019,Hip-Hop,PO Clean Edit,76,24KGoldn
154,City Of Angels,2020,AlternRock,—,120,24KGoldn
155,Valentino,2019,Hip-Hop,PO Quick Edit,76,24KGoldn
156,Valentino,2019,Hip-Hop,PO Intro Edit,76,24KGoldn
157,Valentino,2019,Hip-Hop,Explicit,76,24KGoldn
158,Valentino,2019,Hip-Hop,Instrumental,76,24KGoldn
159,Valentino,2019,Hip-Hop,PO Clean Edit,76,24KGoldn
160,Zagabigi,2013,Dance,—,125,27 Sundays
161,Zagabigi,2014,—,* *,125,27 Sundays
162,Call Me Up,2014,Rock,—,108,28 North
163,Let Me Down Easy,2011,—,—,125,2AM Club
164,Let Me Down Easy,2011,—,Main,125,2AM Club
165,Not Your Boyfriend,2013,Top 40,Radio Edit,125,2AM Club
166,Worry About You,2010,Top 40,—,85,2AM Club
167,Never Alone 2,2008,—,(Juno's Radio Mix) ISV Video Mix by Grant Smith,140,2B4TH
168,Bombscare '94,1994,—,—,133,2 Bad Mice
169,Like It Deep,2004,—,Original Mix,135,2 Bad Mice
170,Like It Deep,2004,—,Simon Fury Dark Edit,135,2 Bad Mice
171,How To Relax,2012,Urban,—,90,2bers
172,Here I Come,2007,—,Album Version,120,2 Bit Pie
173,Me Haz Ensenado A Amar,2006,—,—,130,2ble Bombazo
174,No Voy A Llorar,2006,—,—,125,2ble Bombazo
175,Me Haz Ensenado A Amar,2006,—,—,130,2ble Bombazo
176,No Voy A Llorar,2006,—,—,125,2ble Bombazo
177,Games Of Thrones Medley,2017,Top 40,—,57,2CELLOS
178,Smells Like Teen Spirit,2012,—,—,134,2CELLOS
179,Wake Me Up,2015,Top 40,—,72,2CELLOS
180,Games Of Thrones Medley,2017,Top 40,—,57,2CELLOS
181,Smells Like Teen Spirit,2012,—,—,134,2CELLOS
182,Wake Me Up,2015,Top 40,—,72,2CELLOS
183,Supermassive Black Hole,2013,—,—,124,2Cellos ft. Naya Rivera
184,Highway To Hell,2012,Rock,—,121,2Cellos ft. Steve Vai
185,Watch Out,2016,—,—,65,2 Chainz
186,Rule The World,2019,Hip-Hop,PopRoXxX Intro Edit,88,2 Chainz ft. Ariana Grande
187,Rule The World,2019,Hip-Hop,PopRoXxX Quick Edit,88,2 Chainz ft. Ariana Grande
188,Rule The World,2019,Urban,Explicit,88,2 Chainz ft. Ariana Grande
189,Rule The World,2019,Urban,PO Clean Edit,88,2 Chainz ft. Ariana Grande
190,Where U Been?,2013,Urban,EXPLICIT,67,2 Chainz ft. Cap 1
191,Big Amount,2016,Hip-Hop,Clean,67,2 Chainz ft. Drake
192,Big Amount,2016,Hip-Hop,Explicit,67,2 Chainz ft. Drake
193,No Lie,2012,Urban, Clean Edit*,65,2 Chainz ft. Drake
194,No Lie,2012,Urban,—,66,2 Chainz ft. Drake
195,No Lie,2012,—,(Explicit),65,2 Chainz ft. Drake
196,No Lie,2012,Urban, Clean Edit,65,2 Chainz ft. Drake
197,Big Amount,2016,Hip-Hop,Clean,67,2 Chainz ft. Drake
198,Big Amount,2016,Hip-Hop,Explicit,67,2 Chainz ft. Drake
199,No Lie,2012,Urban, Clean Edit*,65,2 Chainz ft. Drake
200,No Lie,2012,Urban,—,66,2 Chainz ft. Drake
201,No Lie,2012,—,(Explicit),65,2 Chainz ft. Drake
202,No Lie,2012,Urban, Clean Edit,65,2 Chainz ft. Drake
203,Netflix,2013,Urban, Quick Edit,62,2 Chainz ft. Fergie
204,Netflix,2013,Urban,Radio Edit,62,2 Chainz ft. Fergie
