,title,year,genre,mix,bpm,artist
0,Sex 'N' Money,2007,—,Terranova's Starkillers All Over UR Face,129,Oakenfold
1,Starry Eyed Surprise,2002,Trance,—,103,Oakenfold Feat. Shifty Shellshock
2,Elvira,—,—,—,127,Oak Ridge Boys
3,Gotta Be Wrong Sometimes,2012,—, Quick Edit,94,O.A.R.
4,Gotta Be Wrong Sometimes,2012,—,—,94,O.A.R.
5,Heaven,2011,Top 40,—,80,O.A.R.
6,I Go Through,2016,Top 40,—,103,O.A.R.
7,Knocking At Your Door,2019,Pop,—,90,O.A.R.
8,Knocking At Your Door,2019,Pop,PO Quick Edit,90,O.A.R.
9,Knocking At Your Door,2019,Pop,PO Intro Edit,90,O.A.R.
10,Love & Memories,2005,Rock,—,122,O.A.R.
11,Miss You All The Time,2019,Top 40,—,77,O.A.R.
12,Shattered (Turn The Car Around),2008,—,—,106,O.A.R.
13,,,,,,
14,This Town,2009,—,—,87,O.A.R.
15,Whatever,1994,Rock,Definitely Maybe (6:21 Duration),91,Oasis
16,Wonderwall,2015,Hip-Hop,(Club Killers Remix),100,Oasis
17,Wonderwall,1995,—,—,88,Oasis
18,Personal Jesus,2004,—,Teri Bristol & Tod Miner's Mix,130,OBA' Frank Lords
19,7 Billion,2019,Pop,—,73,OBB
20,All Eyes On You,2014,Other,—,122,OBB
21,Bright Side,2015,Other,Radio Edit,74,OBB
22,Come On Home,2013,Top 40,Acoustic,77,OBB
23,Come On Home,2013,—,—,75,OBB
24,I Need You,2016,Other,—,82,OBB
25,Sweater,2017,Top 40,—,122,OBB
26,That Kind Of Faith,2014,Other,—,70,OBB
27,Up Close & Personal,2015,Other,Radio Edit,105,OBB
28,7 Billion,2019,Pop,—,73,OBB
29,All Eyes On You,2014,Other,—,122,OBB
30,Bright Side,2015,Other,Radio Edit,74,OBB
31,Come On Home,2013,Top 40,Acoustic,77,OBB
32,Come On Home,2013,—,—,75,OBB
33,I Need You,2016,Other,—,82,OBB
34,Sweater,2017,Top 40,—,122,OBB
35,That Kind Of Faith,2014,Other,—,70,OBB
36,Up Close & Personal,2015,Other,Radio Edit,105,OBB
37,7 Billion,2019,Pop,—,73,OBB
38,All Eyes On You,2014,Other,—,122,OBB
39,Bright Side,2015,Other,Radio Edit,74,OBB
40,Come On Home,2013,Top 40,Acoustic,77,OBB
41,Come On Home,2013,—,—,75,OBB
42,I Need You,2016,Other,—,82,OBB
43,Sweater,2017,Top 40,—,122,OBB
44,That Kind Of Faith,2014,Other,—,70,OBB
45,Up Close & Personal,2015,Other,Radio Edit,105,OBB
46,Away Frm U,2012,Alternative,—,80,Oberhofer
47,Dreamt I Was Gonna Be Your Man,2019,Alternative,—,70,Oberhofer
48,oOoO,2012,Alternative, Clean Edit,71,Oberhofer
49,Away Frm U,2012,Alternative,—,80,Oberhofer
50,Dreamt I Was Gonna Be Your Man,2019,Alternative,—,70,Oberhofer
51,oOoO,2012,Alternative, Clean Edit,71,Oberhofer
52,Todo El Ano,2004,Dance,D'Motion Brothers Coast 2 Coast Mix,140,Obie Bermudez
53,Todo El Ano,2004,Latin Pop,—,81,Obie Bermudez
54,Veo Veo,2019,Reggaeton,—,87,Obie Bermudez
55,Vida De Colores,2016,Latin,Urban Mix,96,Obie Bermudez
56,Vida De Colores,2016,—,—,96,Obie Bermudez
57,Cry Now,2006,—,EXPLICIT,90,Obie Trice
58,Don't Come Down,2004,Urban,—,82,Obie Trice
59,Got Some Teeth,2003,Hip-Hop,—,108,Obie Trice
60,Oh,2004,Hip-Hop,—,91,Obie Trice
61,Shit Hits The Fan,2003,Hip-Hop,—,92,Obie Trice
62,The Set Up,2004,Urban,—,96,Obie Trice
63,The Set Up,2004,Hip-Hop,Original,97,Obie Trice
64,Snitch,2006,Urban,—,90,Obie Trice ft. Akon
65,Snitch,2006,Urban,—,90,Obie Trice ft. Akon
66,Operation Bikini,2014,Rock,—,100,Obits
67,Cactus,2012,—,Original Mix,124,Objekt
68,Besos De Mentira,2014,—,—,126,OBK
69,Restless (seeking),2002,Progressive Trance,"New Vocal 12""",130,Oblik
70,U Stole My Heart,1994,—,Extended Mix,132,Oblio
71,Lo,2012,Alternative,—,76,O'Brother
72,Lo,2012,Alternative,—,76,O'Brother
73,I Will Never Give You Up,2010,—,Bellatrax Summer Mix,128,Obsessiv ft. Sophia May
74,I Will Never Give You Up,2011,Dance,—,140,Obsessiv ft. Sophia May
75,I Will Never Give You Up,2011,Dance,Cappo Radio,70,Obsessiv ft. Sophia May
76,Crash,2015,Rock,—,132,Obvious Signal
77,Born 2 Live,—,Hip-Hop,—,93,O.C.
78,Neva Lef It,2013,Dancehall,Radio Edit,100,O.C.
79,Muse,2013,Dance,EXPLICIT,72,OCAD
80,Muse,2013,Dance,—,72,OCAD
81,Too Much,2013,Top 40,—,116,OCAD
82,Put Your Hand In The Hand,1971,Rock,Put Your Hand In The Hand,69,Ocean
83,Body Rock,2009,—,Dave Aude Vocal Mix,128,Oceana
84,You've Got It Bad,1996,—,—,141,Ocean Colour Scene
85,Enjoy,2009,—,Astral Body Original Funki Mix,126,Ocean Drive
86,With The Sunshine,—,—,—,150,Ocean Drive
87,So Beautiful,2013,Dancehall,—,75,O'cean Hill
88,Kotahitanga (union),2000,—,Rob B's Vocal Remix,138,Oceania
89,Lonely Girl,2009,Dance,—,132,OceanLab
90,Miracle,2008,—,Above & Beyond Club Radio Edit,138,OceanLab
91,Miracle,2009,—,—,138,OceanLab
92,Lonely Girl,2009,Dance,—,132,OceanLab
93,Miracle,2008,—,Above & Beyond Club Radio Edit,138,OceanLab
94,Miracle,2009,—,—,138,OceanLab
95,Clear Blue Water,2002,—,Ferry Corsten Remix,138,Oceanlab Feat. Justine Suissa
96,Sky Falls Down,2002,—,Original Mix,138,Oceanlab Feat. Justine Suissa
97,Good News,2017,Pop,Intro Edit,90,Ocean Park Standoff
98,Good News,2017,Rock,—,90,Ocean Park Standoff
99,Good News,2017,Pop,Quick Edit,90,Ocean Park Standoff
100,Good Time,2019,Rock,—,72,Ocean Park Standoff
101,If You Were Mine,2018,Pop,—,120,Ocean Park Standoff ft. Lil Yachty
102,Universal 2,1997,—,Club Mix,127,Ocean Parkway
103,Deep Blue,2018,—,PO Intro Edit,113,Oceans
104,Deep Blue,2018,Dance,Extended Mix,113,Oceans
105,Deep Blue,2018,House,PO Quick Edit,113,Oceans
106,Deep Blue,2018,Dance,—,113,Oceans
107,"Oh Lord, You're Beautiful",2007,—,Album Version,63,Oceans Above
108,Superfly,2004,Country,—,118,O.C. Supertones
109,Come Back To Me,2007,—,Christopher Dunham Club Mix,138,Octave Kitten
110,Bury My Lovely,1994,—,—,84,October Project
