,title,year,genre,mix,bpm,artist
0,Vespa,2005,Latin Pop,—,108,P1
1,Digital Lover,2007,—,Version 2 [Original],128,P-1 ft. Betty Boop
2,Digital Lover,2007,Dance,—,128,P-1 ft. Betty Boop
3,Alma,2011,—,Original Mix,129,p8
4,Sunrise,2011,—,Original Mix,127,p8
5,Tek It Easy,2018,Dancehall,—,104,P9
6,So Sexy 2018,2019,—,James Anthony Aggressive Mix (Video Edit By Danny Morris),126,Pabanor ft. U4RIAH
7,So Sexy 2018,2019,—,C-Rod Mix (Video Edit By Danny Morris),130,Pabanor ft. U4RIAH
8,So Sexy 2018,2018,House,Cristian Poow Club Mix,128,Pabanor ft. U4RIAH
9,Ao Sabor Do Vento,2014,International,—,132,Pablo
10,Bilu Bilu,2014,International,—,132,Pablo
11,Pecado De Amor (Se Deus Não Escreveu Assim) (Feat. Fátima Leão),2013,International,—,132,Pablo
12,Porque Homem Não Chora,2014,International,—,132,Pablo
13,Sem Você Tô Mal (Feat. Cláudia Leitte),2013,International,—,132,Pablo
14,Tá Fazendo Falta (Feat. Solange (Aviões Do Forró)),2014,International,—,132,Pablo
15,Você Vai Ficar Em Mim,2013,International,—,132,Pablo
16,Cuando Estes Aqui,2020,Latin,—,62,Pablo Alboran
17,Extasis,2013,—,—,145,Pablo Alboran
18,La Escalera,2016,—,—,73,Pablo Alboran
19,La Llave,2018,—,—,90,Pablo Alboran
20,Miedo,2013,—,—,59,Pablo Alboran
21,Pasos De Cero,2014,—,—,100,Pablo Alboran
22,Por Fin,2014,—,—,74,Pablo Alboran
23,Recuerdame,2015,—,—,72,Pablo Alboran
24,Recuerdame,2015,—,Nueva Version,72,Pablo Alboran
25,Solamente Tu,2011,Latin Pop,—,70,Pablo Alboran
26,,,,,,
27,Tanto,2013,—,—,70,Pablo Alboran
28,Te He Echado De Menos,2016,—,En Directo Desde Las Ventas,71,Pablo Alboran
29,Cuando Estes Aqui,2020,Latin,—,62,Pablo Alboran
30,Extasis,2013,—,—,145,Pablo Alboran
31,La Escalera,2016,—,—,73,Pablo Alboran
32,La Llave,2018,—,—,90,Pablo Alboran
33,Miedo,2013,—,—,59,Pablo Alboran
34,Pasos De Cero,2014,—,—,100,Pablo Alboran
35,Por Fin,2014,—,—,74,Pablo Alboran
36,Recuerdame,2015,—,—,72,Pablo Alboran
37,Recuerdame,2015,—,Nueva Version,72,Pablo Alboran
38,Solamente Tu,2011,Latin Pop,—,70,Pablo Alboran
39,,,,,,
40,Tanto,2013,—,—,70,Pablo Alboran
41,Te He Echado De Menos,2016,—,En Directo Desde Las Ventas,71,Pablo Alboran
42,Quien,2017,—,En Directo desde Las Ventas,71,Pablo Alboran ft. Alejandro Sanz
43,Por Fin,2016,—,En Vivo,60,Pablo Alboran ft. Bebe
44,Por Fin,2016,—,En Vivo,60,Pablo Alboran ft. Bebe
45,Por Fin,2016,—,En Vivo,60,Pablo Alboran ft. Bebe
46,Yo Quiero Amarte (I Wanna Love You),2007,Bachata,—,115,Pablo Bachata ft. M. Sosa
47,Again,2014,Dance,Dirt Crew Remix,122,Pablo Bolivar
48,Sneaky Riddim,2010,—,Original Mix,127,Pablo Calamari
