,title,year,genre,mix,bpm,artist
0,Out Of Control,2005,—,Sex & Love Mix,129,Q
1,Out Of Control,2005,—,Sex & Love Mix,129,Q
2,Forever Girl,2006,—,—,101,Q Amey ft. Jazze Pha
3,Acid Theatre,2000,Progressive Trance,Qattara's Betagen Mix,132,Qattara
4,Come With Me,1997,Trance,Paul Van Dyk Remix,138,Qattara
5,The Truth,1998,—,Steelfish Vocal Mix,135,Qattara
6,The Truth,1997,—,Coufast Mix,135,Qattera
7,1/4 Life Crisis,2005,Dance,—,107,QBoy
8,Oochie Wally,2001,—,—,93,QB's Finest
9,Oochie Wally,2007,Urban,—,94,QB's Finest ft. Bravehearts
10,Innocent,2011,—,Cole's Bottom Heavy Tunnel Mix,120,Q-Burns Absract Message ft. Lisa Shaw
11,Balearic Chainsaw,2011,—,Scott Hardkiss Remix,126,Q-Burns Abstract Message
12,He's A Skull,1998,—,Q-burns' Extended Mix,115,Q-Burns Abstract Message
13,Balearic Chainsaw,2011,—,Scott Hardkiss Remix,126,Q-Burns Abstract Message
14,He's A Skull,1998,—,Q-burns' Extended Mix,115,Q-Burns Abstract Message
15,Innocent,2012,—,Presslaboys Dub Remix,124,Q-Burns Abstract Message ft. Lisa Shaw
16,Hardly A Day,2002,—,—,139,Q.E.D.
17,Love Bites,2003,—,—,137,Q.E.D.
18,Hardly A Day,2002,—,—,139,Q.E.D.
19,Love Bites,2003,—,—,137,Q.E.D.
20,Tinkerbells And Nevergrowns,2017,Top 40,—,96,Qeuyl
21,Like That,2016,Urban,—,85,Qeuyl ft. Mic Massive
22,Dancing In Heaven,—,—,—,138,Q-Feel
23,The Child Inside,1996,—,Junior's Club Mix,127,Qkumba Zoo
24,The Child Inside,2005,Dance,—,128,Qkumba Zoo
25,Neat,2018,Hip-Hop,Instrumental,60,Q Money
26,Neat,2019,Urban,PO Clean Edit,60,Q Money
27,Neat,2019,Urban,PO Quick Edit,60,Q Money
28,Neat,2019,Urban,PO Intro Edit,60,Q Money
29,Neat,2018,Hip-Hop,Explicit,60,Q Money
30,Whole 100,2019,Urban,Explicit,65,Q Money
31,Work,2018,Urban,—,60,Q Money
32,Work,2018,Urban,Explicit,60,Q Money
33,Neat,2018,Hip-Hop,Instrumental,60,Q Money
34,Neat,2019,Urban,PO Clean Edit,60,Q Money
35,Neat,2019,Urban,PO Quick Edit,60,Q Money
36,Neat,2019,Urban,PO Intro Edit,60,Q Money
37,Neat,2018,Hip-Hop,Explicit,60,Q Money
38,Whole 100,2019,Urban,Explicit,65,Q Money
39,Work,2018,Urban,—,60,Q Money
40,Work,2018,Urban,Explicit,60,Q Money
41,Champion Sound,2000,Drum & Bass,Bad Company Remix,172,Q Project
42,Live it Up (Til' Mi Eye Lock),2014,Dancehall,Clean,89,QQ
43,Mosquito Net,2014,Dancehall,—,122,QQ
44,Ring Diggy Ding,2015,—,—,120,QQ
45,Breathe And Stop,1999,—,—,99,Q-Tip
46,For The Nasty (feat. Busta Rhymes & Pharrell),2005,Hip-Hop,—,96,Q-Tip
47,Gettin' Up,2008,Urban,—,96,Q-Tip
48,Let's Ride,2000,—,—,95,Q-Tip
49,Move,2008,—, Clean Edit,99,Q-Tip
50,Move,2008,Urban,—,99,Q-Tip
51,That Feelin,—,—,—,103,Q-Tip
52,Vivrant Thing,2006,—,—,104,Q-Tip
53,For The Nasty,2005,—,A Cappella,96,Q-Tip ft. Busta Rhymes
54,For The Nasty,2005,—,—,96,Q-Tip ft. Busta Rhymes
55,Don't Go Breaking My Heart,2018,Top 40,—,106,Q-Tip ft. Demi Lovato
56,Michael,2018,Alternative,—,128,QTY
57,Rodeo,2017,Alternative,—,131,QTY
58,C'mon 'n Ride It (the Train),1996,Booty Bass,Remix,136,Quad City D.J.'s
59,C'mon 'n Ride It (the Train),1996,Booty Bass,—,136,Quad City D.J.'s
60,Let's Do It,1997,Booty Bass,—,136,Quad City D.J.'s
61,Let's Do It,1997,Booty Bass,Extended Everybody Remix,139,Quad City D.J.'s
62,Space Jam,1996,Booty Bass,—,132,Quad City D.J.'s
63,Space Jam,1996,Booty Bass,Extended Mix,132,Quad City D.J.'s
64,Summer Jam,1997,Booty Bass,Extended Mix,125,Quad City D.J.'s
65,Summer Jam,1997,Booty Bass,—,125,Quad City D.J.'s
66,C'mon 'n Ride It (the Train),1996,Booty Bass,Remix,136,Quad City D.J.'s
67,C'mon 'n Ride It (the Train),1996,Booty Bass,—,136,Quad City D.J.'s
68,Let's Do It,1997,Booty Bass,—,136,Quad City D.J.'s
69,Let's Do It,1997,Booty Bass,Extended Everybody Remix,139,Quad City D.J.'s
70,Space Jam,1996,Booty Bass,—,132,Quad City D.J.'s
71,Space Jam,1996,Booty Bass,Extended Mix,132,Quad City D.J.'s
72,Summer Jam,1997,Booty Bass,Extended Mix,125,Quad City D.J.'s
73,Summer Jam,1997,Booty Bass,—,125,Quad City D.J.'s
74,C'mon 'n Ride It (the Train),1996,Booty Bass,Remix,136,Quad City D.J.'s
75,C'mon 'n Ride It (the Train),1996,Booty Bass,—,136,Quad City D.J.'s
76,Let's Do It,1997,Booty Bass,—,136,Quad City D.J.'s
77,Let's Do It,1997,Booty Bass,Extended Everybody Remix,139,Quad City D.J.'s
78,Space Jam,1996,Booty Bass,—,132,Quad City D.J.'s
79,Space Jam,1996,Booty Bass,Extended Mix,132,Quad City D.J.'s
80,Summer Jam,1997,Booty Bass,Extended Mix,125,Quad City D.J.'s
81,Summer Jam,1997,Booty Bass,—,125,Quad City D.J.'s
82,Romantica,2000,—,Original Mix,141,Quadra
83,Ten Four,2001,—,Original Mix,135,Quadra
84,I Can Feel Your Love,2003,—,U&k Mix,134,Quadraphonic
85,Hey Love,2013,Top 40,—,117,Quadron
86,Quadrophonia,2010,Rock,—,129,Quadrophonia
87,Little Shaker Boys,2004,—,Original Mix,127,Quads Quad
88,Little Shaker Boys,2004,—,Original Mix,127,Quads Quad
89,Little Shaker Boys,2004,—,Original Mix,127,Quads Quad
90,Little Shaker Boys,2004,—,Original Mix,127,Quads Quad
91,Little Shaker Boys,2004,—,Original Mix,127,Quads Quad
92,Little Shaker Boys,2004,—,Original Mix,127,Quads Quad
93,Little Shaker Boys,2004,—,Original Mix,127,Quads Quad
94,Little Shaker Boys,2004,—,Original Mix,127,Quads Quad
