,title,year,genre,mix,bpm,artist
0,Terrenal,2008,Ballad,—,76,R-15
1,Sakura,2016,Pop,Promo Only Intro Edit*,128,R3hab
2,Sakura,2016,—,Intro Edit,128,R3hab
3,Sakura,2016,Dance,—,128,R3hab
4,Sakura,2016,Pop,Promo Only Intro Edit*,128,R3hab
5,Sakura,2016,—,Intro Edit,128,R3hab
6,Sakura,2016,Dance,—,128,R3hab
7,Sakura,2016,Pop,Promo Only Intro Edit*,128,R3hab
8,Sakura,2016,—,Intro Edit,128,R3hab
9,Sakura,2016,Dance,—,128,R3hab
10,Sakura,2016,Pop,Promo Only Intro Edit*,128,R3hab
11,Sakura,2016,—,Intro Edit,128,R3hab
12,Sakura,2016,Dance,—,128,R3hab
13,Sakura,2016,Pop,Promo Only Intro Edit*,128,R3hab
14,Sakura,2016,—,Intro Edit,128,R3hab
15,Sakura,2016,Dance,—,128,R3hab
16,Sakura,2016,Pop,Promo Only Intro Edit*,128,R3hab
17,Sakura,2016,—,Intro Edit,128,R3hab
18,Sakura,2016,Dance,—,128,R3hab
19,Unstoppable,2014,Dance,Radio Edit,128,R3hab ft. Eva Simons
20,Unstoppable,2014,—,—,128,R3hab ft. Eva Simons
21,Unstoppable,2014,Dance, Quick Edit,128,R3hab ft. Eva Simons
22,Unstoppable,2014,Dance,Radio Edit,128,R3hab ft. Eva Simons
23,Unstoppable,2014,—,—,128,R3hab ft. Eva Simons
24,Unstoppable,2014,Dance, Quick Edit,128,R3hab ft. Eva Simons
25,Unstoppable,2014,Dance,Radio Edit,128,R3hab ft. Eva Simons
26,Unstoppable,2014,—,—,128,R3hab ft. Eva Simons
27,Unstoppable,2014,Dance, Quick Edit,128,R3hab ft. Eva Simons
28,Unstoppable,2014,Dance,Radio Edit,128,R3hab ft. Eva Simons
29,Unstoppable,2014,—,—,128,R3hab ft. Eva Simons
30,Unstoppable,2014,Dance, Quick Edit,128,R3hab ft. Eva Simons
31,#MIAMIBACKAGAIN,2013,—,Original Mix,128,"R3hab, Nari, Milani, MYNC"
32,#MIAMIBACKAGAIN,2013,—,Original Mix,128,"R3hab, Nari, Milani, MYNC"
33,Revolution,2014,—,Radio Mix,128,"R3hab, NERVO, Ummet Ozcan"
34,Revolution,2014,—,Radio Edit,128,"R3hab, NERVO, Ummet Ozcan"
35,Revolution,2013,—,Instrumental Mix,128,"R3hab, NERVO, Ummet Ozcan"
36,Revolution,2014,—,Radio Mix,128,"R3hab, NERVO, Ummet Ozcan"
37,Revolution,2014,—,Radio Edit,128,"R3hab, NERVO, Ummet Ozcan"
38,Revolution,2013,—,Instrumental Mix,128,"R3hab, NERVO, Ummet Ozcan"
39,Revolution,2014,—,Radio Mix,128,"R3hab, NERVO, Ummet Ozcan"
40,Revolution,2014,—,Radio Edit,128,"R3hab, NERVO, Ummet Ozcan"
41,Revolution,2013,—,Instrumental Mix,128,"R3hab, NERVO, Ummet Ozcan"
42,Revolution,2014,—,Radio Mix,128,"R3hab, NERVO, Ummet Ozcan"
43,Revolution,2014,—,Radio Edit,128,"R3hab, NERVO, Ummet Ozcan"
44,Revolution,2013,—,Instrumental Mix,128,"R3hab, NERVO, Ummet Ozcan"
45,Revolution,2014,—,Radio Mix,128,"R3hab, NERVO, Ummet Ozcan"
46,Revolution,2014,—,Radio Edit,128,"R3hab, NERVO, Ummet Ozcan"
47,Revolution,2013,—,Instrumental Mix,128,"R3hab, NERVO, Ummet Ozcan"
48,Smile,2015,Top 40,—,92,R5
49,Acetona,2003,—,—,98,Rabanes
50,Bam Bam,2002,—,—,110,Rabanes
51,Bam Bam,2002,—,Exclusive Reggaeton Mix,110,Rabanes
52,El Apreton,2008,—,—,102,Rabanes
53,Everybody,2002,—,Pablo Flores Club Mix,131,Rabanes
54,La Vida,2007,—,—,155,Rabanes
55,La Vida,2007,—,Radio Intro Edit,155,Rabanes
56,Money,2003,—,—,200,Rabanes
57,Te Jodiste,2008,—,—,106,Rabanes
58,Rocko Ton Ton,2004,—,—,100,Rabanes ft. Don Omar
59,Nachtschattengewchs,2016,Dance,—,128,Rabaukendisko
60,Nachtschattengewchs,2016,Dance,—,128,Rabaukendisko
61,Cheap Sunglasses,2014,Dance,Amtrac Remix,126,RAC ft. Matthew Koma
62,Cheap Sunglasses,2014,Dance,—,115,RAC ft. Matthew Koma
63,Stuck On You,2020,Alternative,—,95,RAC ft. Phil Good
64,Brand New Life,2003,—,—,76,Rachael Lampa
65,He's Good,2020,Christian,Radio,68,Rachael Lampa
66,I'm All Yours,2002,—,—,102,Rachael Lampa
67,No Greater Love,2002,—,—,89,Rachael Lampa
68,No Other One,2005,—,—,63,Rachael Lampa
69,Outrageous,2005,—,—,91,Rachael Lampa
70,Remedy,2011,—,Acoustic Mix,94,Rachael Lampa
71,Savior's Face,2012,—,—,108,Rachael Lampa
72,Savior Song,2002,—,—,93,Rachael Lampa
73,When I Fall,2004,—,—,118,Rachael Lampa
74,,,,,,
75,What Kind Of Love,2015,Other,—,130,Rachael Mann
76,California,2013,Top 40,—,119,Rachael Sage
77,Too Many Women,2010,—,—,69,Rachael Sage
78,Till There Was You,2005,—,—,129,Rachael Starr
79,Hurts Don't It,2017,Ballad,—,75,Rachael Turner
80,I Don't Love You,2016,Country,—,65,Rachael Turner
81,Walking Away With Your Heart,2013,Top 40,—,74,Rachel Arianna
82,Giggle,2009,—,Original Mix,125,Rachel Barton
83,Giggle,2009,—,Yankee Zulu Remix,125,Rachel Barton
84,Santa Baby,2015,Top 40,—,84,Rachel Brown
85,You Got Me,2016,Top 40,—,90,Rachel Brown
86,Up All Night,2019,Pop,—,64,Rachel Crow
87,Fishin' For Something,2013,Country,—,80,Rachele Lynae
88,Party 'Til The Cows Come Home,2012,Country,—,92,Rachele Lynae
89,Quicksand,2015,Country,—,77,Rachele Lynae
90,Whole Lotta Nothin',2014,Country,—,87,Rachele Lynae
91,Love Drunk,2012,—,SL5 Club Mix,128,Rachel Ess
92,Ain't Easy,2013,Country,—,81,Rachel Farley
93,Midnight Road,2013,Country,—,80,Rachel Farley
94,I'm Not The Girl,2003,—,—,91,Rachel Farris
95,Christmas Eve,2010,Country,—,126,Rachel Holder
96,Five Days,2013,Country,Lyric Video,92,Rachel Holder
97,Five Days,2013,Country,—,92,Rachel Holder
98,In Your Ams,2012,Country,—,59,Rachel Holder
99,In Your Arms,2012,Country,—,59,Rachel Holder
100,Lord Help Me,2013,Country,—,95,Rachel Holder
101,Shining Now,2014,Country,—,69,Rachel Holder
102,The Edge Of Glory,2012,Top 40,—,129,Rachel Holder
103,You Only Call Me When You're Drunk,2017,—,—,105,Rachel Holder
104,You Only Call Me When You're Drunk,2017,Country,Quick Edit,105,Rachel Holder
105,,,,,,
106,You Only Call Me When You're Drunk,2017,Country,Intro Edit,105,Rachel Holder
107,Hold My Hand,2012,Urban,—,99,Rachel Kerr
108,Bones,2014,Country,—,91,Rachel Lipsky
109,Dancin' In The Neon,2017,Country,—,120,Rachel Lipsky
110,Back To Love,2005,—,JH Soulful House Mix,127,Rachel Panay
111,Back To Love,2005,—,Josh Harris Love Anthem,130,Rachel Panay
112,I Still Believe,2005,—,Jh's Original Extended,128,Rachel Panay
113,It's Got To Be Love,2007,—,Lenny B Radio Mix,128,Rachel Panay
114,It's Got To Be Love,2007,—,Georgie Porgie's Original Club,128,Rachel Panay
115,The Real Thing,2006,—,Josh Harris' Big Room Club,129,Rachel Panay
116,1000 Ships,2011,—,—,132,Rachel Platten
117,Better Place,2016,Top 40,—,100,Rachel Platten
118,Fight Song,2015,Top 40, Quick Edit*,88,Rachel Platten
119,Fight Song,2015,Pop,—,88,Rachel Platten
120,Fight Song,2015,Dance,Dave Aude Remix Extended,103,Rachel Platten
121,Fight Song,2015,Pop, Quick Edit,88,Rachel Platten
122,Stand By You,2015,Top 40, Quick Edit*,94,Rachel Platten
123,Stand By You,2015,Pop, Quick Edit,94,Rachel Platten
124,Stand By You,2015,Pop,—,94,Rachel Platten
125,Stand By You,2016,Pop,Dave Aude Extended Remix,100,Rachel Platten
126,,,,,,
127,You Belong,2018,Top 40,—,104,Rachel Platten
128,1000 Ships,2011,—,—,132,Rachel Platten
129,Better Place,2016,Top 40,—,100,Rachel Platten
130,Fight Song,2015,Top 40, Quick Edit*,88,Rachel Platten
131,Fight Song,2015,Pop,—,88,Rachel Platten
132,Fight Song,2015,Dance,Dave Aude Remix Extended,103,Rachel Platten
133,Fight Song,2015,Pop, Quick Edit,88,Rachel Platten
134,Stand By You,2015,Top 40, Quick Edit*,94,Rachel Platten
135,Stand By You,2015,Pop, Quick Edit,94,Rachel Platten
136,Stand By You,2015,Pop,—,94,Rachel Platten
137,Stand By You,2016,Pop,Dave Aude Extended Remix,100,Rachel Platten
138,,,,,,
139,You Belong,2018,Top 40,—,104,Rachel Platten
140,Days Like This,2003,—,—,120,Rachel Proctor
141,Didn't I,2004,—,—,74,Rachel Proctor
142,Me & Emily,2004,—,—,116,Rachel Proctor
143,Tell Me A Secret,2009,—,Valentin Radio,130,Rachel Rose
144,More More More,2004,Disco,"7""",112,Rachel Stevens
145,Negotiate With Love,2005,Pop,Lti Club Edit,130,Rachel Stevens
146,Honky Tonk Queen,2011,—,—,147,Rachel Timberlake
147,Damage,2018,Ballad,—,73,Rachel Wammack
148,Enough,2019,Country,Lyric Video,86,Rachel Wammack
149,Enough,2019,Ballad,—,87,Rachel Wammack
150,Cinderella's Playing Out,2006,Dance,(Badgirl Remix) ISV Video Mix by Garry A. Cagle,100,Rachel White
151,This Gun,2006,Top 40,—,119,Rachel Zamsteen
152,Living Loving You,2020,Christian,—,92,Rachel Zello
153,Voz Ativa,1992,Hip-Hop,Versão Baile,92,Racionais Mc's
154,Voz Ativa,1992,Hip-Hop,Versão Rádio,84,Racionais Mc's
155,Love In Time,—,—,—,128,Racket Club
156,Nerve,—,—,—,124,Racket Club
157,Come Alive,2003,—,Jazzy Vocal Mix,122,Racoon Feat. Christine Lucas
158,Runaway,2009,—,—,175,Radagun
159,Me Canse,2011,—,—,153,Radar De Durango
160,Closer To Myself,2000,—,—,104,Radford
161,Don't Stop,2000,—,—,99,Radford
162,Everything Costs,2016,Rock,—,110,Radical Face
163,Holy Branches,2014,Rock,—,115,Radical Face
164,The Mute,2014,Rock,—,111,Radical Face
165,The Road To Nowhere,2016,Rock,—,128,Radical Face
166,Absolute Affirmation,2005,Rock,—,155,Radio 4
167,Dance To The Underground,2006,—,DFA Remix,126,Radio 4
168,Enemies Like This,2006,—,—,160,Radio 4
169,Packing Things Up On The Scene,2007,Rock,—,124,Radio 4
170,Wait For Me In The Fall,2015,Rock,—,78,Radio Birds
171,PERFECT HUMAN,2015,Electronic,—,128,RADIO FISH
172,Reckoner,2008,—,—,104,Radiohead
173,Staircase,2012,—,—,64,Radiohead
174,Staircase,2012,Rock,Live from the Basement,128,Radiohead
175,The Headmaster Ritual,2016,Rock,Webcast Version,152,Radiohead
176,The National Anthem,—,—,—,92,Radiohead
177,There There,—,—,—,127,Radiohead
178,Videotape,—,—,—,156,Radiohead
179,Weird Fishes/arpeggi,—,—,—,152,Radiohead
