,title,year,genre,mix,bpm,artist
0,Me Tiene Amarrao,2011,—,—,123,"S2R (Sexo, Sudor Y Risa)"
1,Ooh That A**,2005,—,—,57,S5
2,Ooh That A**,2005,—,Instrumental,57,S5
3,Ooh That A**,2005,—,—,57,S5
4,Ooh That A**,2005,—,Instrumental,57,S5
5,Halfway,2016,R&B,—,105,S-8ighty
6,Everytime,2009,—,Original Mix,124,Sa'ad
7,Everytime,2009,—,Dave Implex Mix,128,Sa'ad
8,Yerbabuena,2005,Latin Pop,—,108,Saavedra
9,Yerbabuena,2005,—,Remix 2 Radio Edit,124,Saavedra
10,One O' Clock,1997,—,—,116,Sabelle
11,Where Did The Love Go,1994,—,—,90,Sabelle
12,Dile A Mi Rival,2006,—,—,88,Sabiduria Nortena
13,Es Culpa De Los Dos,2004,—,—,86,Sabiduria Nortena
14,"Mal Padre, Mal Hijo",2006,—,—,174,Sabiduria Nortena
15,Mis Ojos,2004,—,—,73,Sabiduria Nortena
16,Mi Ultima Carta,2005,—,—,78,Sabiduria Nortena
17,Where They Do That At,2012,Top 40,—,84,Sabi ft. Wale
18,Cuidado Amor,2004,Latin Pop,—,82,Sabrina
19,Montecarlo,2005,—,—,87,Sabrina
20,Sue Me,2019,Pop,Clean,78,Sabrina Carpenter
21,The Middle Of Starting Over,2014,Top 40,—,92,Sabrina Carpenter
22,Thumbs,2017,Top 40,Quick Edit,135,Sabrina Carpenter
23,Thumbs,2017,Top 40,Intro Edit,135,Sabrina Carpenter
24,Thumbs,2017,Top 40,—,135,Sabrina Carpenter
25,We'll Be The Stars,2015,Top 40,—,83,Sabrina Carpenter
26,Why,2017,Pop,Intro Edit,90,Sabrina Carpenter
27,Why,2017,Pop,Quick Edit,90,Sabrina Carpenter
28,Why,2017,Top 40,—,90,Sabrina Carpenter
29,Sue Me,2019,Pop,Clean,78,Sabrina Carpenter
30,The Middle Of Starting Over,2014,Top 40,—,92,Sabrina Carpenter
31,Thumbs,2017,Top 40,Quick Edit,135,Sabrina Carpenter
32,Thumbs,2017,Top 40,Intro Edit,135,Sabrina Carpenter
33,Thumbs,2017,Top 40,—,135,Sabrina Carpenter
34,We'll Be The Stars,2015,Top 40,—,83,Sabrina Carpenter
35,Why,2017,Pop,Intro Edit,90,Sabrina Carpenter
36,Why,2017,Pop,Quick Edit,90,Sabrina Carpenter
37,Why,2017,Top 40,—,90,Sabrina Carpenter
38,Sue Me,2019,Pop,Clean,78,Sabrina Carpenter
39,The Middle Of Starting Over,2014,Top 40,—,92,Sabrina Carpenter
40,Thumbs,2017,Top 40,Quick Edit,135,Sabrina Carpenter
41,Thumbs,2017,Top 40,Intro Edit,135,Sabrina Carpenter
42,Thumbs,2017,Top 40,—,135,Sabrina Carpenter
43,We'll Be The Stars,2015,Top 40,—,83,Sabrina Carpenter
44,Why,2017,Pop,Intro Edit,90,Sabrina Carpenter
45,Why,2017,Pop,Quick Edit,90,Sabrina Carpenter
46,Why,2017,Top 40,—,90,Sabrina Carpenter
47,Tell Me x Too Much Too Late,2017,Rock,—,104,Sabrina Claudio
48,Unravel Me,2018,Rock,—,105,Sabrina Claudio
49,Con Cual De Los Dos,2007,—,—,100,Sabrina ft. Angel Y Khriz
50,Friendship,2010,—,HCCR Remix,126,Sabrina Johnston
51,Peace (In The Valley),2011,Rock,—,121,Sabrina Johnston
52,Oh My Gosh,2010,—,Soulshaker Club Mix,127,Sabrina Washington
53,ToolTrap,2013,—,Him_Self_Her Remix,119,Saccao
54,ToolTrap,2013,—,Him_Self_Her Remix,119,Saccao
55,Naked As We Came,2007,Urban,—,83,Sachal Vasandani
56,Hollywood Angel,2018,—,Explicit,115,SACHI ft. EAST
57,I Need An Angel,2009,Christian,—,122,Sacred Road
58,I Need An Angel,2009,Christian,—,122,Sacred Road
59,Live Love Laugh,2015,Other,—,102,Sada K.
60,Live Love Laugh,2015,Other,—,102,Sada K.
61,Live Love Laugh,2015,Other,—,102,Sada K.
62,Baby Father,2010,—,—,69,Sade
63,By Your Side,2001,—,Ben Watt's Lazy Dog Club Mix,126,Sade
64,By Your Side,2001,—,—,73,Sade
65,Cherish The Day,2008,—,Live Version,80,Sade
66,Hang On To Your Love,2013,Urban,—,108,Sade
67,Hang On To Your Love,2013,Urban, Quick Edit*,108,Sade
68,No Ordinary Love,2006,—,—,83,Sade
69,Smooth Operator,2005,—,—,120,Sade
70,Soldier Of Love,2009,—,—,90,Sade
71,Still In Love With You,2011,—,—,77,Sade
72,,,,,,
73,The Moon & The Sky,2010,Urban,—,74,Sade
74,The Sweetest Taboo,2008,—,—,92,Sade
75,Your Love Is King,2008,—,—,89,Sade
76,Dum,2016,Urban,—,87,Sade Serena
77,Tonight,2013,Top 40,—,130,Sade Serena
78,Swerve,2018,Dancehall,Clean Edit,98,Sade Serena ft. Elephant Man
