,title,year,genre,mix,bpm,artist
0,Butterflies,2009,—,The Count's Regal Mix,132,T2
1,Butterflies,2009,—,Radio Edit,139,T2
2,Heartbroken,2008,Dance,—,129,T2 ft. Jodie
3,Heartbroken,2008,—,Thomas Gold Mix,129,T2 ft. Jodie Aysha
4,Heartbroken,2008,—,WaWa Main Radio Version,128,T2 ft. Jodie Aysha
5,Heartbroken,2008,—,WaWa Club Mix,128,T2 ft. Jodie Aysha
6,Heartbroken,2008,—,—,140,T2 ft. Jodie Aysha
7,Aerolinea Carrillo,2019,Banda,—,76,T3R Elemento ft. Gerardo Ortiz
8,Let Him Go,1992,—,Club Mix,113,T42
9,Nocturne,2013,—,—,128,T99
10,Dear Joan,2002,—,—,50,Tabitha's Secret
11,Unkind,2002,—,—,134,Tabitha's Secret
12,All I Gave To You '06,2006,—,Joe Bermudez & Klubjumpers Club,130,Taborah
13,I Am (The Rising),2004,—,Johnny Rocks Fire Island Sunrise Mixshow,130,Taborah
14,I Am (The Rising),2004,—,Johnny Rocks Rhythm Radio Remix,130,Taborah
15,Cold Pill,2015,Electronic,—,150,Tabrill Feat. Domonic
16,Tacata,2012,Dance,—,128,Tacabro
17,Tacata,2012,Merengue Mambo,El Berna Jam,128,Tacabro
18,Puttin On The Ritz,1982,Pop,Original,99,Taco
19,Puttin' On The Ritz,2008,—,—,99,Taco
20,Too Busy,2010,Reggae,—,85,Taddy P ft. Maxi Priest
21,Too Busy,2010,Reggae,—,85,Taddy P ft. Maxi Priest
22,Big Enough,2010,—,—,95,Taddy Porter
23,Fever,2013,Rock,—,127,Taddy Porter
24,All She Wants Is Love,2015,Urban,—,84,Tafari
25,Love 2 Love,2016,Urban,—,84,Tafari
26,I Want You,2014,Urban,Remix,83,Tafari ft. Nyla
27,You Won't Ever Leave,2007,—,Eddie Baez Extended Mix,132,Tafuri
28,Addams Family (Whoomp!),2008,—,—,132,Tag Team
29,Whoomp! (There It Is),2013,Top 40, Quick Edit*,130,Tag Team
30,Whoomp! (There It Is),2013,Top 40,—,130,Tag Team
31,Whoomp! There It Is,2006,—,—,130,Tag Team
32,Whoop There It Is!,—,Hip-Hop,—,129,Tag Team
33,Whoomp! (There It Went),2008,—,—,130,Tag Team with Mickey Mouse
34,Heartbeat,2000,—,Todd Terry Tnt Mix,127,Tahiti 80
35,Flirt,2015,Urban,—,85,Tahj Mowry
36,Think Of Me,2019,Top 40,—,66,Tahne
37,Paradise Poltergeist,2010,—,Original Mix,128,TAI
38,Paradise Poltergeist,2010,—,Original Mix,128,TAI
39,Pegate A Mi,2018,—,—,91,Tailo Paz
40,Como Yo Te Quiero,2005,Latin Pop,—,98,Taino
41,Festival,2003,—,Obadam's Extended Club Vocal Mix,128,Taino
42,Festival,2003,—,Obadam's Extended Club Vocal,128,Taino
43,Hay Como Yo Te Quiero,2005,—,Extended Mix,124,Taino
44,Una Noche,2013,Merengue Mambo,—,110,Taino
45,Toma Toma,2005,—,—,94,Taino ft. Frankie Needles
46,La Hebilla,2006,Reggaeton,2006 Hot remix,94,Taino ft. La Gatillera
47,Traga,2005,—,777 Remix,95,Taino ft. Mexicano 777
48,Traga,2005,—,777 Remix,95,Taino ft. Mexicano 777
49,Troublemaker,2012,—,Extended,125,Taio Cruz
50,Troublemaker,2012,Dance, R3hab Intro Edit*,128,Taio Cruz
51,Hangover,2011,—, Clean Radio Edit,128,Taio Cruz ft. Flo Rida
52,Hangover,2011,Top 40, Clean Edit,128,Taio Cruz ft. Flo Rida
53,Hangover,2012,Top 40, Quick Edit*,128,Taio Cruz ft. Flo Rida
54,Hangover,2012,—,—,128,Taio Cruz ft. Flo Rida
55,Hangover,2011,Top 40, Quick Edit,128,Taio Cruz ft. Flo Rida
56,Hangover,2012,—,Jump Smokers Extended,128,Taio Cruz ft. Flo Rida
57,Dirty Picture,2010,—,Dave Aude Radio Edit,128,Taio Cruz ft. Ke$ha
58,Dirty Picture,2010,—,Dave Aude Club Mix,128,Taio Cruz ft. Ke$ha
59,Dirty Picture,2010,Top 40,—,120,Taio Cruz ft. Ke$ha
60,Take A Picture,2010,—,—,120,Taio Cruz ft. Ke$ha
61,Dirty Picture,2010,—,Dave Aude Radio Edit,128,Taio Cruz ft. Ke$ha
62,Dirty Picture,2010,—,Dave Aude Club Mix,128,Taio Cruz ft. Ke$ha
63,Dirty Picture,2010,Top 40,—,120,Taio Cruz ft. Ke$ha
64,Take A Picture,2010,—,—,120,Taio Cruz ft. Ke$ha
65,Higher,2011,Top 40,—,128,Taio Cruz ft. Kylie Minogue
66,Higher,2011,Top 40,—,128,Taio Cruz ft. Kylie Minogue
67,Break Your Heart,2010,Dance,Wideboys Radio Edit,127,Taio Cruz ft. Ludacris
68,Break Your Heart,2010,Urban,—,122,Taio Cruz ft. Ludacris
69,Break Your Heart,2010,—,Mixin Marc & Tony Svedja Mixshow,126,Taio Cruz ft. Ludacris
70,Higher,2010,Top 40,—,128,Taio Cruz ft. Travie McCoy
71,Bonded,2002,—,—,88,Tait
72,God Can You Hear Me,2004,—,—,122,Tait
73,Lose This Life,2004,Country,—,125,Tait
74,Reconnecting,2004,—,—,74,Tait
75,Tell Me Why,2002,—,—,80,Tait
76,Colombian Gyal,2019,Dancehall,—,94,Taiwan MC ft. Paloma Pradal
77,I & I,1997,—,—,98,Taja Sevelle
78,Year Of The Lover,2009,Reggae,Reggae Mix,67,Tajh Smart
79,Blue Light Boogie,—,—,—,96,Taj Mahal
80,Blue Light Boogie,—,—,—,96,Taj Mahal
81,Anything You Want,1979,Disco,Lp,120,Taka Boom
82,Night Dancin',1979,Disco,Lp,125,Taka Boom
83,Red Hot,1979,Disco,"12""",122,Taka Boom
84,Line,2012,—,Original Mix,127,Takaki Matsuda
85,Hakuchuumu -Nightmare-,2016,Game,—,140,Takako Ichida
86,"Count Down 3,2,1",2016,Game,—,138,Takako Ishida
87,Final Hour,2016,Game,—,126,Takako Ishida
88,Fly More Higher!,2016,Game,—,146,Takako Ishida
89,Game Of Love,2016,Game,—,154,Takako Ishida
90,"Good Night, Sleep Tight",2016,Game,—,48,Takako Ishida
91,Hikari To Kage No Kyoukaisen,2016,Game,—,80,Takako Ishida
92,Jiga To Yokubou No Waodori,2016,Game,—,130,Takako Ishida
93,"Koyoi, Megami No Shukufuku Wo",2016,Game,—,118,Takako Ishida
94,Last Dance,2016,Game,—,130,Takako Ishida
95,Let The Battle Begin!,2016,Game,—,138,Takako Ishida
96,,,,,,
97,Madoromi,2016,Game,—,93,Takako Ishida
98,New World,2016,Game,—,130,Takako Ishida
99,Shake It!,2016,Game,—,162,Takako Ishida
100,Walk In The Wonder Dream,2016,Game,—,90,Takako Ishida
101,"Yume No Owari, Tabi No Owari",2016,Game,—,80,Takako Ishida
102,Can I Come Over,2000,—,—,64,Take 5
103,Shake It Off,2000,—,—,99,Take 5
104,When Angels Cry,2015,Urban,Lyric Video,115,Take 6
105,Last Memory,2019,Hip-Hop,PO Clean Edit,59,Takeoff
106,Last Memory,2019,Hip-Hop,Instrumental,59,Takeoff
107,A-ha,1985,—,—,169,Take On Me
108,A,—,—,—,126,Take That
109,Back For Good,2006,—,—,79,Take That
110,You're So Last Summer,2004,Rock,—,81,Taking Back Sunday
111,Time To Burn,2010,Rock,(Explicit),150,Taking Dawn
112,Time To Burn,2010,—,—,150,Taking Dawn
113,Time To Burn,2010,Rock,(Explicit),150,Taking Dawn
114,Time To Burn,2010,—,—,150,Taking Dawn
115,If You Sleep,2000,—,—,84,Tal Bachman
116,She's So High,2004,Top 40,—,124,Tal Bachman
117,If You Sleep,2000,—,—,84,Tal Bachman
118,She's So High,2004,Top 40,—,124,Tal Bachman
119,Strictly Digital,—,—,—,131,Talent Mafia
120,Airport Lounge,2004,—,A.1. Remix,174,TALI
121,N.A.L.S. (Not Another Love Song),2015,Dance,Gino Caporale Remix,124,Talia Rose
122,Get By,2003,—,Remix,90,Talib Kewl Feat. Jay-Z
123,Cold Rain,2011,Urban,—,83,Talib Kweli
124,Cold Rain,2011,—,(Explicit),83,Talib Kweli
125,Get Back Pt 2,2001,Hip-Hop,—,90,Talib Kweli
126,Get By,2003,—,—,90,Talib Kweli
127,Listen,—,—,—,98,Talib Kweli
128,Listen!!!,2006,—,—,98,Talib Kweli
129,Manifesto,1999,Hip-Hop,Vocal,94,Talib Kweli
130,Never Been In Love,2005,—,—,96,Talib Kweli
131,Peace Of Mond,2004,Hip-Hop,—,90,Talib Kweli
132,Upper Echelon,2013,Dance,Clean Version,93,Talib Kweli
133,,,,,,
134,Upper Echelon,2013,—,—,93,Talib Kweli
135,Waiting For The Dj,2003,—,—,99,Talib Kweli
136,Cold Rain,2011,Urban,—,83,Talib Kweli
137,Cold Rain,2011,—,(Explicit),83,Talib Kweli
138,Get Back Pt 2,2001,Hip-Hop,—,90,Talib Kweli
139,Get By,2003,—,—,90,Talib Kweli
140,Listen,—,—,—,98,Talib Kweli
141,Listen!!!,2006,—,—,98,Talib Kweli
142,Manifesto,1999,Hip-Hop,Vocal,94,Talib Kweli
143,Never Been In Love,2005,—,—,96,Talib Kweli
144,Peace Of Mond,2004,Hip-Hop,—,90,Talib Kweli
145,Upper Echelon,2013,Dance,Clean Version,93,Talib Kweli
146,,,,,,
147,Upper Echelon,2013,—,—,93,Talib Kweli
148,Waiting For The Dj,2003,—,—,99,Talib Kweli
149,Cold Rain,2011,Urban,—,83,Talib Kweli
150,Cold Rain,2011,—,(Explicit),83,Talib Kweli
151,Get Back Pt 2,2001,Hip-Hop,—,90,Talib Kweli
152,Get By,2003,—,—,90,Talib Kweli
153,Listen,—,—,—,98,Talib Kweli
154,Listen!!!,2006,—,—,98,Talib Kweli
155,Manifesto,1999,Hip-Hop,Vocal,94,Talib Kweli
156,Never Been In Love,2005,—,—,96,Talib Kweli
157,Peace Of Mond,2004,Hip-Hop,—,90,Talib Kweli
158,Upper Echelon,2013,Dance,Clean Version,93,Talib Kweli
159,,,,,,
160,Upper Echelon,2013,—,—,93,Talib Kweli
161,Waiting For The Dj,2003,—,—,99,Talib Kweli
162,Some Kind Of Wonderful,—,Hip-Hop,—,96,Talib Kweli Ft. Hi Tek
163,Uh Oh,2011,Urban,—,83,Talib Kweli ft. Jean Grae
164,Uh Oh,2011,Urban,—,83,Talib Kweli ft. Jean Grae
165,I Try,2004,Urban,—,97,Talib Kweli ft. Mary J. Blige
166,Come Here,2013,Dance,—,106,Talib Kweli ft. Miguel
167,Come Here,2013,Dance,—,106,Talib Kweli ft. Miguel
168,Come Here,2013,Dance,—,106,Talib Kweli ft. Miguel
169,Come Here,2013,Dance,—,106,Talib Kweli ft. Miguel
170,Come Here,2013,Dance,—,106,Talib Kweli ft. Miguel
171,And She Was,2008,—,—,126,Talking Heads
172,Born Under Punches (The Heat Goes On),1980,New Wave,—,113,Talking Heads
173,Burning Down The House,2019,—,PO Intro Edit,103,Talking Heads
174,Burning Down The House,2007,—,—,103,Talking Heads
175,Found A Job,1978,New Wave,—,123,Talking Heads
176,Once In A Lifetime,1984,New Wave,Stop Making Sense,122,Talking Heads
177,Once In A Lifetime,1981,Alternative,Original Version,117,Talking Heads
178,Once In A Lifetime,2008,—,—,118,Talking Heads
179,Psycho Killer,1977,New Wave,—,123,Talking Heads
180,Stay Up Late,2014,Rock,—,111,Talking Heads
181,,,,,,
182,This Ain't No Disco,—,—,—,132,Talking Heads
183,This Must Be the Place (Naive Melody),2019,Pop,—,115,Talking Heads
184,Wild Wild Life,2007,—,—,138,Talking Heads
185,"Wild, Wild Life",2007,—,—,139,Talking Heads
186,Mirrors,2012,—,(Explicit),122,Talking Pictures
187,Tried To Fly,2012,—,Original Mix,70,Talkin To Alienz
188,Everybody Loves My Car,1997,—,—,121,Talk Show
189,Hello Hello,1997,—,—,96,Talk Show
190,Dum Dum Girl,—,—,—,124,Talk Talk
191,Give It Up,—,—,—,87,Talk Talk
192,Happiness Is Easy,—,—,—,107,Talk Talk
193,I Believe In You,—,—,—,90,Talk Talk
194,It's My Life,2008,—,—,126,Talk Talk
195,Life's What You Make It,2019,Pop,—,92,Talk Talk
196,Living In Another World,—,—,—,111,Talk Talk
197,My Foolish Friend,—,—,—,128,Talk Talk
198,Such As Shame,—,—,—,112,Talk Talk
199,Talk Talk,2008,—,—,135,Talk Talk
200,,,,,,
201,Today,2018,Pop,—,153,Talk Talk
202,Free Your Mind,2016,Trance,Extended Mix,138,Talla 2XLC
203,Frenetic,2019,Trance,Extended Mix,138,Talla 2XLC
204,The Verge,2017,Trance,Extended Mix,138,Talla 2XLC
205,The Air That I Breathe,2004,Trance,Dumonde Club Mix,138,Talla 2XLC Featuring Ely
206,The Air That I Breathe,2004,Trance,Dumonde Club Mix,138,Talla 2XLC Featuring Ely
207,The Air That I Breathe,2004,Trance,Dumonde Club Mix,138,Talla 2XLC Featuring Ely
208,Horse To Water,2017,Rock,—,97,Tall Heights
209,House On Fire,2019,Alternative,—,90,Tall Heights
210,The Deep End,2018,Rock,—,103,Tall Heights
211,Freebase,2000,—,Tall Paul Original Mix,139,Tall Paul
212,It's Alright,2001,—,Dave Aude Mix,138,Tall Paul
213,Precious Heart,2002,—,Original Mix,128,Tall Paul vs. INXS
214,Precious Heart,2002,—,Joshua Ryan's Triple Bypass Remix,132,Tall Paul vs. INXS
215,Jab Jab Nation,2014,—, Clean Edit,69,Tallpree
216,Bring It Come,2011,—,—,160,Tallpree ft. Soca Banton
217,Bring It Come,2011,—,—,160,Tallpree ft. Soca Banton
218,Bring It Come,2011,—,—,160,Tallpree ft. Soca Banton
219,2AM,2019,Rock,—,93,Talos
220,Far Out Dust,2019,Rock,—,84,Talos
221,"Odyssey, Pt. 2",2018,Rock,—,104,Talos
222,See Me,2019,Rock,—,84,Talos
223,If You Don't Wanna Love Me,2000,—,—,60,Tamar
224,If You Don't Wanna Love Me,2000,—,Club Mix,130,Tamar
225,La Distancia,2005,—,—,72,Tamara
226,Asking Too Much,2000,—,—,108,Tamara Walker
227,Didn't We Love,2000,—,—,95,Tamara Walker
228,Giant,1999,—,—,99,Tamara Walker
229,All The Way Home,2013,—,—,54,Tamar Braxton
230,Crazy Kind Of Love,2020,R&B,Clean Edit,68,Tamar Braxton
231,If I Don't Have You,2015,Urban, Quick Edit*,95,Tamar Braxton
232,If I Don't Have You,2015,R&B,—,64,Tamar Braxton
233,If I Don't Have You,2015,R&B, Quick Edit,64,Tamar Braxton
234,Love & War,2013,Urban,—,60,Tamar Braxton
235,The One,2013,—,—,97,Tamar Braxton
236,Let Me Know,2014,R&B,—,78,Tamar Braxton ft. Future
237,"Beautiful, Loved & Blessed",2006,—,—,94,Tamar ft. Prince
238,New Day,2011,Top 40,—,118,Tamar Kaprelian
239,The One For Me,2017,Urban,—,101,Tamba Hali
240,El Salvaje,2000,—,—,123,Tamborazo Kampesino
