,title,year,genre,mix,bpm,artist
0,Wire,—,—,—,141,U2
1,With Or Without You,2007,—,—,55,U2
2,Zooropa,1993,Rock,—,104,U2
3,Wire,—,—,—,141,U2
4,With Or Without You,2007,—,—,55,U2
5,Zooropa,1993,Rock,—,104,U2
6,Wire,—,—,—,141,U2
7,With Or Without You,2007,—,—,55,U2
8,Zooropa,1993,Rock,—,104,U2
9,Take Me To The Clouds Above,2004,Dance,Audiolush Remix Edit,140,U2 vs. LMC
10,Love Is Way Bigger Than Anything In Its Way,2018,Electronica,PopRoXxX Intro Edit,115,U2 x Cheat Codes
11,Live & Celebrate,2016,Electronica,—,130,U4YA
12,Love Sees No Colour,1993,—,Bass Bumpers Mix,136,U 96
13,Falling Down,2013,—,Tom Laws Remix,126,Uakoz
14,Can't Help Falling In Love,2007,—,—,86,UB40
15,Here I Am (Come & Take Me),2013,Reggae,—,96,UB40
16,Higher Ground,1993,—,—,101,UB40
17,Holly Holy,2004,Top 40,—,99,UB40
18,Red Red Wine,2009,—,—,89,UB40
19,"Red, Red, Wine",1983,Reggae,—,89,UB40
20,GTFU,2013,—,Zoolanda Remix,128,Uberjak'd
21,2kool4skool,1999,—,Rennie Pilgrim's Thursday Club Mix,132,Uberzone
22,Bounce,2001,—,Max Graham Mix,134,Uberzone
23,2kool4skool,1999,—,Rennie Pilgrim's Thursday Club Mix,132,Uberzone
24,Bounce,2001,—,Max Graham Mix,134,Uberzone
25,Decadent,2015,Rock, Edit*,130,U.D.O.
26,Speechless,2004,—,Mara's Airsax4nicinpachamix,130,U Facilities vs The Man
27,Burrito Sabanero,2018,Latin,—,75,Ufell
28,Caperusita,2018,Latin,—,130,Ufell
29,Despierta,2019,Latin,—,132,Ufell
30,Negare,2017,Latin,—,126,Ufell
31,No Fui Yo,2017,Reggaeton,—,87,Ufell
32,Papa Caliente,2018,Latin,—,87,Ufell
33,24,2018,Latin,—,80,Ufell Ft. Enok
34,Eros,2019,Latin,—,127,Ufell Ft. Enok
35,Arrivederci,2002,—,—,110,Uff
36,Me Enamoro De Ti,2003,—,—,128,Uff
37,Arrivederci,2002,—,—,110,Uff
38,Me Enamoro De Ti,2003,—,—,128,Uff
39,A.D.D. S.U.V.,2010,Top 40,—,118,Uffie ft. Pharrell Williams
40,Rock Bottom,—,Rock,—,181,UFO
41,Da Game Been Good To Me,2009,—,—,82,UGK
42,Da Game Been Good To Me,2009,—, Clean Edit Short Radio Mix,82,UGK
43,Da Game Has Been Good To Me,2009,—,Instrumental,82,UGK
44,Take It Off,2008,Rock,—,81,UGK
45,The Game Belongs To Me,2007,Urban,—,65,UGK
46,The Game Belongs To Me,2007,—,Instrumental,65,UGK
47,International Player's Anthem,—,—,—,78,UGK Ft. OutKast
48,International Player's Anthem,—,—,—,78,UGK Ft. OutKast
49,International Player's Anthem,—,—,—,78,UGK Ft. OutKast
50,Batman,2019,Urban,Explicit,77,Ugly God
51,Water,2017,Hip-Hop,—,70,Ugly God
52,Water,2017,Hip-Hop,Clean,70,Ugly God
53,Water,2017,Hip-Hop,Explicit,70,Ugly God
54,Water,2017,Hip-Hop,Instrumental,70,Ugly God
55,Cat's In The Cradle,2006,—,—,76,Ugly Kid Joe
56,Wu-Tang,2010,—,—,80,U-God ft. Method Man
57,Not A Love Song,2008,Rock,—,130,Uh Huh Her
58,Rebeka,1998,—,—,101,Uhrin Benedek
59,Is There Anybody Out There?,2006,—,—,121,UK Bassheads
60,Neverland,2011,House,—,130,U-Kiss
61,Neverland,2011,House,—,130,U-Kiss
62,Las Ensenanzas,2019,Banda,—,75,Ulices Chaidez
63,Consecuencias Y Reclamos,2015,—,—,98,Ulises Hadjis
64,Algo Mas,2006,—,—,80,Ulises Quintero
65,Duena De Mi Vida,2005,—,—,95,Ulises Quintero
66,No Puedo Mas,2006,—,—,102,Ulises Quintero
67,Cuando Eres Nada,2017,—,Radio Edit,74,Ulmater
68,Made Of Stars,2013,—,So Called Scumbags Remix,126,U-Lot Sound ft. Jem
69,French Kisz,2004,—,Taken From The Ultim 8 EP,124,Ultim 8
70,It's My Birthday,2010,—,—,128,Ultimate
71,Full Extreme,2017,—,—,128,Ultimate Rejects
72,Pretty Green Eyes,2004,Dance,N-Trance Edit,140,Ultrabeat
73,Pretty Green Eyes,2004,—,N-Trance Remix Edit,140,Ultrabeat
74,Nothing Is Forever,1992,—,E-motion Dub Mix,128,Ultracynic
75,Alone,2009,—,Original Mix,150,Ultra DJ's
76,Cool Winds,2008,—,DJ Alex Remix,145,Ultra DJ's
77,Me & U,2007,—,Carl Ryder Radio Edit,132,Ultra DJ's
78,Alone,2009,—,Original Mix,150,Ultra DJ's
79,Cool Winds,2008,—,DJ Alex Remix,145,Ultra DJ's
80,Me & U,2007,—,Carl Ryder Radio Edit,132,Ultra DJ's
81,Must Be The Music,2007,—,Carl Ryden Remix,128,Ultra DJ's ft. TQ
82,Must Be The Music,2007,—,Montoja Remix,128,Ultra DJ's ft. TQ
83,Must Be The Music,2007,—,Carl Ryden Remix,128,Ultra DJ's ft. TQ
84,Must Be The Music,2007,—,Montoja Remix,128,Ultra DJ's ft. TQ
85,Heaven Is A Place On Earth,2008,Dance,—,142,Ultra Flirt
86,Give It All You Got,2008,—,Bimbo Jones Radio Mix,129,Ultra ft. Chris Willis
87,Give It All You Got,2008,—,Bimbo Jones Extended Mix,129,Ultra ft. Chris Willis
88,Poppa Large,—,—,—,110,Ultramagnetic MC's
89,A Estrada Perdida,2001,Reggae,Álbum,134,Ultramen
90,Turn It Up,2011,—,Wawa Club Mix,128,Ultra Nate
91,Turn It Up,2011,—,Paul Oakenfold Radio Edit,126,Ultra Nate
92,Turn It Up,2011,—,—,126,Ultra Nate
93,Twisted,2008,—,Craig C's Master Vocal Mix,127,Ultra Nate
94,Twisted (Goe Me Goin' Round),2009,—,Craig C's Master Vocal Mix*,127,Ultra Nate
95,Twisted (Got Me Goin' Round),2009,—,Craig C's Master Vocal Mix*,127,Ultra Nate
96,Twisted (Got Me Goin' Round),2008,—,Craig C's Master Vocal Mix,127,Ultra Nate
97,Twisted (Got Me Goin' Round),2008,—,Craig C Radio Edit,127,Ultra Nate
98,Twisted (Got Me Goin' Round),2008,—,—,127,Ultra Nate
99,Twisted (Got Me Goin' Round),2008,Dance,The Cube Guys Vocal Mix,130,Ultra Nate
100,,,,,,
101,Turn It Up,2011,—,Wawa Club Mix,128,Ultra Nate
102,Turn It Up,2011,—,Paul Oakenfold Radio Edit,126,Ultra Nate
103,Turn It Up,2011,—,—,126,Ultra Nate
