,title,year,genre,mix,bpm,artist
0,In Time,2002,—,Maw Mix,126,V
1,Take Me There,2006,—,—,111,V3
2,The Wild Life,2016,Rock,—,80,Vacationer
3,Trip,2012,—,—,92,Vacationer
4,They Do It,2004,Dance,—,136,Vacuum
5,Aye (Kallin' You Out),2014,Urban,—,97,Vada
6,My Bae,2014,Hip-Hop,—,81,Vado ft. Jeremih
7,My Bae,2014,Urban,EXPLICIT,81,Vado ft. Jeremih
8,Summa Party,2018,Dancehall,—,99,Vagan
9,Como La Gelatina,2011,—,—,88,Vagon Chicano
10,Cuenta Conmigo,2010,—,—,92,Vagon Chicano
11,3.14,2016,Rock,Water Mix,120,Vajra
12,Anaisa,2018,—,—,130,Vakero
13,Chocolate,2009,—,—,119,Vakero
14,Chula Eres Tu,2019,Reggaeton,—,95,Vakero
15,Esperar,2015,Reggaeton,—,88,Vakero
16,Guateque,2018,—,—,120,Vakero
17,Mi Sepelio,2017,—,—,131,Vakero
18,Que Mujer Tan Chula,2011,—,—,116,Vakero
19,Te Quiero,2009,—,—,75,Vakero
20,Ella No Se Enamora,2014,—,—,71,Vakero ft. Melymel
21,Lo Nunca Antes Visto,2015,—,—,95,Vale
22,Womp Womp,2018,Hip-Hop,PO Quick Edit,78,Valee ft. Jeremih
23,Womp Womp,2018,Hip-Hop,PO Clean Edit,78,Valee ft. Jeremih
24,Womp Womp,2018,Hip-Hop,Explicit,78,Valee ft. Jeremih
25,Womp Womp,2018,Hip-Hop,PO Intro Edit,78,Valee ft. Jeremih
26,The Only One Lonely,2007,Top 40,—,102,Val Emmich
27,Space Between,2006,Rock,—,85,Valencia
28,The Space Between,2006,—,—,85,Valencia
29,Where Did You Go?,2009,Rock,—,161,Valencia
30,Blue Heart,2012,—,Less Hate Remix,125,Valentina Black
31,Amor De Estudiante,2006,—,—,71,Valentin Ceja Y Su Rock 'N' Banda
32,Boogie Oogie Oogie,2005,—,PO Clean Edit,125,Valentine
33,Asi Que Te Vas,2009,Banda,—,125,Valentin Elizalde
34,Como Me Duele,2006,—,—,151,Valentin Elizalde
35,De Verdad Te Quiero,2005,—,—,125,Valentin Elizalde
36,La Pecosita,2007,—,—,125,Valentin Elizalde
37,Lobo Domesticado,2007,Banda,—,116,Valentin Elizalde
38,Te Quiero Asi,2007,—,—,94,Valentin Elizalde
39,Vencedor,2006,—,—,80,Valentin Elizalde
40,Loco,2016,—,—,94,Valentino
41,Loco,2016,—,—,94,Valentino
42,Loco,2016,—,—,94,Valentino
43,Deep Down Low,2016,Dance,EXPLICIT,126,Valentino Khan
44,Deep Down Low,2016,Dance,—,126,Valentino Khan
45,Deep Down Low,2015,Dance,Original Mix - Explicit,126,Valentino Khan
46,Feel Your Love,2018,Electronica,Original Mix,126,Valentino Khan
47,Lick It,2018,House,Original Mix,125,Valentino Khan
48,Lick It,2018,House,PO Intro Edit,125,Valentino Khan
49,Lick It,2018,House,Original,125,Valentino Khan
50,Lick It,2018,House,PO Quick Edit,125,Valentino Khan
51,Pony,2019,—,—,128,Valentino Khan
52,Pump,2017,Electronica,Original Mix,128,Valentino Khan
53,,,,,,
54,Gold,2018,—,Lyric Video,103,Valentino Khan ft. Sean Paul
55,Gold,2018,Dance,—,106,Valentino Khan ft. Sean Paul
56,Ooh La La,2001,—,Fernando G. Mix,116,Valeria
57,Girl I Told Ya,2007,—,Dave Aude Mix,126,Valeria ft. Aria
58,Girl I Told Ya,2007,Top 40,—,116,Valeria ft. Aria
59,Girl I Told Ya,2007,—,Trent Cantrelle Mix,126,Valeria ft. Aria
60,Girl I Told Ya,2007,Dance,Trent Cantrelle Mix*,126,Valeria ft. Aria
61,Girl I Told You,2007,Top 40,—,116,Valeria ft. Aria
62,Cuando No Estas,2008,—,—,81,Valeria Gastaldi
63,Todavia,2007,—,—,90,Valerie
64,Todavia,2007,—,—,90,Valerie
65,Todavia,2007,—,—,90,Valerie
66,Shakedown,2017,Rock,—,96,Valerie June
67,Workin' Woman Blues,2013,Country,—,124,Valerie June
68,Mi Corazon,2017,—,—,93,Valerie Morales
69,Te Exitare 2015,2015,Reggaeton,—,95,Valerie Morales
70,Mi Corazon,2017,—,—,93,Valerie Morales
71,Te Exitare 2015,2015,Reggaeton,—,95,Valerie Morales
72,Somethin Bout Them Boots,2012,—,—,140,Valet ft. Kurty Durty
73,Ain't No Friend Of Mine,2017,Top 40,—,94,Vali
74,Ain't No Friend Of Mine,2017,House,Rick Cross Remix - Clean,125,Vali
75,Pluto,2019,House,Dirty Disco NuDisco Remix,122,Vali
76,Dimes,2013,Top 40,—,70,Vali ft. Wiz Khalifa
77,Dimes,2013,Top 40,Radio Edit,70,Vali ft. Wiz Khalifa
78,Into The New,2000,—,Scott Humphrey Mix,120,Vallejo
79,Just Another Day,1997,—,—,92,Vallejo
80,Snake In The Grass,1999,—,Hurricane Remix,87,Vallejo
81,Cathedrals Of Dread,2011,—,—,160,Vallenfyre
82,There's Still A Light In The House,2020,Alternative,—,110,Valley
83,Heaven & Hell,2019,Rock,—,116,Valleyheart
84,Go,2014,Rock,—,153,Valley Lodge
85,"Kiss Me, I'm Drunk",2014,Country,—,126,Valley Lodge
86,Solo Tu,2009,—,—,97,Vallin ft. Raquel
87,Solo Tu,2009,—,—,97,Vallin ft. Raquel Del Rosario
88,I Waited For You,2012,—,—,81,Valora
89,Tattoo Me,—,—,—,104,Vampire Rodents
90,Teapot,—,—,—,134,Vampire Rodents
91,Terra Amata,—,—,—,111,Vampire Rodents
92,Unmoved,—,—,—,97,Vampire Rodents
93,Zygote,—,—,—,125,Vampire Rodents
94,Tattoo Me,—,—,—,104,Vampire Rodents
95,Teapot,—,—,—,134,Vampire Rodents
96,Terra Amata,—,—,—,111,Vampire Rodents
97,Unmoved,—,—,—,97,Vampire Rodents
98,Zygote,—,—,—,125,Vampire Rodents
99,White Sky,2011,—,—,136,Vampire Weekend
100,Fire & The Flood,2015,Alternative,—,115,Vance Joy
101,Georgia,2017,Country,—,72,Vance Joy
102,I'm With You,2018,Rock,—,119,Vance Joy
103,Lay It On Me,2018,AlternRock,—,128,Vance Joy
104,Mess Is Mine,2015,Alternative,—,108,Vance Joy
105,Riptide,2014,Rock,—,103,Vance Joy
106,Saturday Sun,2018,Rock,—,100,Vance Joy
107,We're Going Home,2018,Top 40,—,96,Vance Joy
108,Killing Me To Love You,2016,Rock,—,84,Vancouver Sleep Clinic
109,Someone To Stay,2017,Rock,—,54,Vancouver Sleep Clinic
110,Killing Me To Love You,2016,Rock,—,84,Vancouver Sleep Clinic
111,Someone To Stay,2017,Rock,—,54,Vancouver Sleep Clinic
112,Best Of Everything,2016,Rock,—,65,Van Damsel
113,Endless Summer,2018,Country,PopRoXxX Quick Edit,76,Vandoliers
114,Endless Summer,2018,Country,PO Quick Edit,152,Vandoliers
115,Endless Summer,2018,Country,PO Intro Edit,152,Vandoliers
116,Endless Summer,2018,Country,PopRoXxX Intro Edit,76,Vandoliers
117,Endless Summer,2018,Country,—,76,Vandoliers
118,Endless Summer,2018,Country,PopRoXxX Quick Edit,76,Vandoliers
119,Endless Summer,2018,Country,PO Quick Edit,152,Vandoliers
120,Endless Summer,2018,Country,PO Intro Edit,152,Vandoliers
121,Endless Summer,2018,Country,PopRoXxX Intro Edit,76,Vandoliers
122,Endless Summer,2018,Country,—,76,Vandoliers
123,Como Lo Extrano,2010,—,—,90,Vanelis
124,Laberinto,2009,—,—,98,Vanelis
125,Aun No Te Haz Ido,2008,—,—,125,Vanesa Martin
126,Te Has Perdido Quien Soy,2017,—,Acustico,63,Vanesa Martin
127,Casi Te Rozo,2015,—,—,81,Vanesa Martin ft. Axel
128,Complicidad,2017,—,—,104,Vanesa Martin ft. Manuel Medrano
129,Dominante,2000,—,—,88,Vanessa
130,Hey Hey,1993,Hi-NRG,—,142,Vanessa
131,Si Llego A Ser Adivina,2000,—,—,95,Vanessa
132,This Is Who I Am,—,—,—,130,Vanessa Amborosi
133,Absolutely Everybody,2001,—,—,123,Vanessa Amorosi
134,10 Bags,2018,Urban,—,97,Vanessa Bling
135,A Thousand Miles,2004,Top 40,—,96,Vanessa Carlton
136,Hands On Me,2008,Top 40,—,122,Vanessa Carlton
137,Nolita Fairytale,2007,Top 40,—,94,Vanessa Carlton
138,Operator,2015,Top 40,—,132,Vanessa Carlton
139,Ordinary Day,2008,Top 40,—,62,Vanessa Carlton
140,Pretty Baby,2002,—,—,69,Vanessa Carlton
141,White Houses,2004,Top 40,—,135,Vanessa Carlton
142,Heart Of Wax,2011,—,Richard Morel Mix,126,Vanessa Daou
143,Once In A While,2012,—,Roberto Rodriguez Every Now & Then Mix,125,Vanessa Daou
144,Tu No Eres El Mismo,2006,—,Salsa Version,94,Vanessa Formell
145,Tu No Eres Un Secreto,2006,—,Salsa Version,90,Vanessa Formell
146,Come Back To Me,2006,—,No Rap Intro,88,Vanessa Hudgens
147,Come Back To Me,2006,—,—,88,Vanessa Hudgens
148,Say Ok,2007,Top 40,—,96,Vanessa Hudgens
149,Sneakernight,2008,Top 40,—,104,Vanessa Hudgens
150,$$$ex,2013,Dance,DJLW Radio Edit,130,Vanessa Hudgens vs YLA
151,$$$ex,2013,—,DJLW Remix - Explicit,130,Vanessa Hudgens vs YLA
152,I Feel Love,1998,—,Roach's Ultimix,125,Vanessa Mae
153,Toccata & Fugue In D Minor,2006,—,—,136,Vanessa Mae
154,Turn My Lights On,2013,Top 40,—,133,Vanessa Marie
155,Come Over,2015,Dance,Kenny Carpenter Remix Radio Edit,123,Vanessa Mdee
156,Come Over,2015,Dance,Original Mix,123,Vanessa Mdee
157,Come Over,2015,Dance,Frank Lamboy Vocal Remix,125,Vanessa Mdee
158,Breathless,2009,Urban,—,64,Vanessa Williams
159,Colors Of The Wind,1995,—,—,84,Vanessa Williams
160,Happiness,1997,—,—,99,Vanessa Williams
161,The Sweetest Days,2008,—,—,70,Vanessa Williams
162,You Are Everything,2005,—,Mr. Mig Retro Breaks Mix,138,Vanessa Williams
163,You Are Everything,2005,Dance,Junior Vasquez Mirrorball Club Mix,130,Vanessa Williams
164,Breathless,2009,Urban,—,64,Vanessa Williams
165,Colors Of The Wind,1995,—,—,84,Vanessa Williams
166,Happiness,1997,—,—,99,Vanessa Williams
167,The Sweetest Days,2008,—,—,70,Vanessa Williams
168,You Are Everything,2005,—,Mr. Mig Retro Breaks Mix,138,Vanessa Williams
169,You Are Everything,2005,Dance,Junior Vasquez Mirrorball Club Mix,130,Vanessa Williams
170,Body Moves,2011,—,Qubiq Extended Remix,128,Van Go Lion
171,Best of Both Worlds,2015,Rock,—,124,Van Halen
172,Dreams,2013,Rock,—,146,Van Halen
173,Finish What You Started,2014,Rock,—,125,Van Halen
174,Hot For Teacher,2006,—,—,131,Van Halen
175,House Of Pain,1984,Hard Rock,—,200,Van Halen
