,title,year,genre,mix,bpm,artist
0,High Volume,2012,Urban,—,90,W3 The Future ft. The Rej3ctz
1,Can't You See,2000,—,Breakbeat Mix,140,W8less
2,Saturday Night,2011,Country,—,114,Wade Bowen
3,Trouble,2009,Country,—,106,Wade Bowen
4,Don't Stop,2014,Country,—,88,Wade Hayes
5,Goodbye Is The Wrong Way To Go,2000,—,—,92,Wade Hayes
6,Is It Already Time,2012,Country,—,77,Wade Hayes
7,Old Enough To Know Better,2012,—,—,165,Wade Hayes
8,On A Good Night,2013,Country,—,150,Wade Hayes
9,Tore Up From The Floor Up,2008,Country,—,172,Wade Hayes
10,"Up North (down South, Back East, Out West)",2000,—,—,127,Wade Hayes
11,What's It Gonna Take,2000,—,—,122,Wade Hayes
12,Wichita Lineman,2013,Country,—,83,Wade Hayes
13,I'm Good,2018,Top 40,—,102,Wafia
14,I'm Good,2018,Top 40,Lyric Video,102,Wafia
15,Boom Pal Piso,2017,Reggaeton,—,84,Wafic
16,Como Yo Ninguno,2011,Reggaeton,—,88,Wafic
17,Despreocupate,2012,Reggaeton,—,86,Wafic
18,Johnny Cash (Stripped),2018,Rock,—,110,Wage War
19,Low,2019,Rock,—,65,Wage War
20,Who I Am,2019,Rock,—,107,Wage War
21,Music Is Not Far,2011,—,Daniel Kyo Remix,122,Wagon Cookin' ft. Odille Lima
22,Berro Na Mão,2003,Gospel,—,95,Waguinho
23,All Over The World,1992,—,Greyboy Chaotic Mix,130,Wailing Souls
24,Wild Wild Life,1993,—,—,138,Wailing Souls
25,Ahora Tu,2014,Bachata,—,65,Wailin Swagger
26,No Se Llama Amor,2020,Bachata,—,130,Wailin Swagger
27,Simplemente Tu,2018,Bachata,—,140,Wailin Swagger
28,Red Light,—,—,—,92,Waiting For God
29,Red Light,—,—,—,92,Waiting For God
30,Grove St. Party,—,—,—,112,Waka Flocka Flame
31,Hard In Da Paint,2010,Urban,—,72,Waka Flocka Flame
32,O Let's Do It,2010,Urban,—,65,Waka Flocka Flame
33,O Let's Do It,2010,—,(Explicit),65,Waka Flocka Flame
34,Round Of Applause,2012,Urban,EXPLICIT,70,Waka Flocka Flame ft. Drake
35,Round Of Applause,2012,—,(Explicit),70,Waka Flocka Flame ft. Drake
36,Grove St. Party,2011,—,Instrumental,70,Waka Flocka Flame ft. Kebo Gotti
37,Grove St. Party,2011,Urban, Clean Edit,70,Waka Flocka Flame ft. Kebo Gotti
38,Grove St. Party,2011,—,—,70,Waka Flocka Flame ft. Kebo Gotti
39,Grove St. Party,2011,—,Instrumental,70,Waka Flocka Flame ft. Kebo Gotti
40,Grove St. Party,2011,Urban, Clean Edit,70,Waka Flocka Flame ft. Kebo Gotti
41,Grove St. Party,2011,—,—,70,Waka Flocka Flame ft. Kebo Gotti
42,Grove St. Party,2011,—,Instrumental,70,Waka Flocka Flame ft. Kebo Gotti
43,Grove St. Party,2011,Urban, Clean Edit,70,Waka Flocka Flame ft. Kebo Gotti
44,Grove St. Party,2011,—,—,70,Waka Flocka Flame ft. Kebo Gotti
45,Grove St. Party,2011,—,Instrumental,70,Waka Flocka Flame ft. Kebo Gotti
46,Grove St. Party,2011,Urban, Clean Edit,70,Waka Flocka Flame ft. Kebo Gotti
47,Grove St. Party,2011,—,—,70,Waka Flocka Flame ft. Kebo Gotti
48,Grove St. Party,2011,—,Instrumental,70,Waka Flocka Flame ft. Kebo Gotti
49,Grove St. Party,2011,Urban, Clean Edit,70,Waka Flocka Flame ft. Kebo Gotti
50,Grove St. Party,2011,—,—,70,Waka Flocka Flame ft. Kebo Gotti
51,I Don't Really Care,2012,—,(Explicit),72,Waka Flocka Flame ft. Trey Songz
52,I Don't Really Care,2012,Urban, Clean Edit*,72,Waka Flocka Flame ft. Trey Songz
