,title,year,genre,mix,bpm,artist
0,4th Of July,2013,Rock,—,72,X
1,Burning House Of Love,2018,Pop,—,141,X
2,"True Love, Pt. 2",2008,—,—,120,X
3,Wild Thing,2006,—,—,109,X
4,Everywhere We Go,2006,—,—,94,X1 ft. Lil' Flip
5,Hipster Apocalypse,2015,Urban,—,94,X24
6,The Beginning,2004,—,Breakbeat Mix,146,X7
7,Barrel Of A Gun,—,—,—,99,X-ACT
8,De Corazon,2012,Latin Pop,—,80,X Alfonso
9,American Oxygen,2016,Rock,—,79,X Ambassadors
10,BOOM,2019,Rock,—,108,X Ambassadors
11,Don't Stay,2018,Top 40,—,102,X Ambassadors
12,Hold You Down,2019,Rock,—,79,X Ambassadors
13,Hold You Down,2019,Alternative,PO Quick Edit,80,X Ambassadors
14,Hold You Down,2019,Alternative,PO Intro Edit,80,X Ambassadors
15,Hoping,2017,Rock,—,69,X Ambassadors
16,JOYFUL,2018,Rock,—,110,X Ambassadors
17,Renegades,2015,Rock, Quick Edit*,90,X Ambassadors
18,Renegades,2015,Alternative, Quick Edit,90,X Ambassadors
19,,,,,,
20,Renegades,2015,Alternative,—,90,X Ambassadors
21,Renegades,2015,Dance,Stash Konig Remix,128,X Ambassadors
22,Unconsolable,2014,Rock,—,76,X Ambassadors
23,Unsteady,2015,Alternative,—,59,X Ambassadors
24,Unsteady,2016,House,Josh Li Remix - DJ Intro,114,X Ambassadors
25,Low Life,2016,Rock,—,70,X Ambassadors ft. Jamie N Commons
26,Collider,2016,Rock,—,70,X Ambassadors ft. Tom Morello
27,Collider,2016,Rock,—,70,X Ambassadors ft. Tom Morello
28,I Know You,2014,—,Original Mix,124,Xander Milne
29,Meet You There,2020,House,Extended Mix,126,Xandor ft. Will Jay
30,Cara De Nina,2000,—,—,127,Xandro Y Su Punto
31,Comprate Un Perro,1999,—,—,162,Xandro Y Su Punto
32,Por Amarte Asi,2002,—,—,134,Xandro Y Su Punto
33,Tocame El Pito,2002,—,—,177,Xandro Y Su Punto
34,Todo El Mundo Encuero,2001,—,—,175,Xandro Y Su Punto
35,Cara De Nina,2000,—,—,127,Xandro Y Su Punto
36,Comprate Un Perro,1999,—,—,162,Xandro Y Su Punto
37,Por Amarte Asi,2002,—,—,134,Xandro Y Su Punto
38,Tocame El Pito,2002,—,—,177,Xandro Y Su Punto
39,Todo El Mundo Encuero,2001,—,—,175,Xandro Y Su Punto
40,Cara De Nina,2000,—,—,127,Xandro Y Su Punto
41,Comprate Un Perro,1999,—,—,162,Xandro Y Su Punto
42,Por Amarte Asi,2002,—,—,134,Xandro Y Su Punto
43,Tocame El Pito,2002,—,—,177,Xandro Y Su Punto
44,Todo El Mundo Encuero,2001,—,—,175,Xandro Y Su Punto
45,Uh La La,2018,—,Lyric Video,88,Xantos
46,Bailame Despacio,2016,—,—,88,Xantos ft. Dynell
47,Recuerdo,2019,Latin,—,102,Xantos ft. Jhay Cortez
48,Recuerdo,2019,Latin,—,102,Xantos ft. Jhay Cortez
49,Mentiroso,2005,—,—,112,Xarah
50,Gonna Get Back To You,1992,—,"Kenlou 12""""",123,Xavier Gold
51,Candy,2015,Top 40,—,128,Xavier Le Pop Star
52,Walk Away,2018,Rock,—,121,Xavier Rudd
53,Walk Away,2018,Rock,—,121,Xavier Rudd
54,Never Wanna Leave,2014,Top 40,—,127,Xavier Toscano
55,Runaway,2016,Top 40,—,130,Xavier Toscano
56,La Morena,2016,—,—,122,Xavier Y Bajando Fino
57,Song4u,2012,Urban,—,70,X Black Superheroes
58,Infectious,2000,—,Evolution Remix,135,X-Cabs
59,Neuro,1995,Hard Trance,Original Mix,143,X-Cabs
60,Nuero '99,2000,—,"John ""00"" Fleming Remix",140,X-Cabs
61,Confetti,2015,Dance,Jason Nevins Radio,128,Xcedera Twins
62,Beleza Do Caribe,2014,Latin,—,104,Xcelencia
63,Estilito Que Enamora,2013,Reggaeton,—,87,Xcelencia
64,Searching For A Lover,1995,—,Boomy's Mpv House Mix,125,X-Cess
65,Corazon De Piedra,2001,—,—,80,Xcezzo
66,The Man Machine,—,—,—,86,XCR
67,One World One People,2001,—,Club Jumpers Mix,136,X Cultures
68,It's Goin Down,—,—,—,105,X-Ecutioners
69,Let It Bang,—,—,—,93,X-Ecutioners
70,It's Goin' Down,2002,—,—,105,X-Ecutioners Feat. Mike Shinoda and Mr. Hahn
71,It's Goin' Down,2002,—,—,105,X-Ecutioners Feat. Mike Shinoda and Mr. Hahn
72,It's Goin' Down,2002,—,—,105,X-Ecutioners Feat. Mike Shinoda and Mr. Hahn
73,Sweat,2014,Dance,NovoGain Dance Radio Remix,128,Xelle
74,El Hombre Que Yo Amo,2017,Salsa,—,95,Xenia
75,Sing You Home,2012,—,—,115,Xenia
76,Dopamine,2019,Dance,Lyric Video,103,Xenia Ghali
77,Dotted Line,2018,Dance,Lyric Video,126,Xenia Ghali
78,Lay in Your Arms,2019,Dance,—,126,Xenia Ghali
79,Renaissance,2015,Dance,Original Mix,128,Xenia Ghali
80,Under These Lights,2016,Dance,Promo Only Quick Edit*,128,Xenia Ghali
81,Under These Lights,2016,Dance,Lyric Video,128,Xenia Ghali
82,Under These Lights,2016,Electronica,Extended,128,Xenia Ghali
83,Under These Lights,2016,Dance,Lyric Video - Vocal Edit,128,Xenia Ghali
84,Under These Lights,2016,Electronica, Quick Edit,128,Xenia Ghali
85,Under These Lights,2016,—, Lyric Video Intro Edit*,128,Xenia Ghali
86,,,,,,
87,Under These Lights,2016,Dance,Intro Edit,128,Xenia Ghali
88,Under These Lights,2016,Dance,Promo Only Intro Edit*,128,Xenia Ghali
89,Under These Lights,2016,Dance,—,128,Xenia Ghali
90,Black Betty's Worldwide,2015,Pop,—,128,Xenia Ghali ft. Heymous Molly
91,Black Betty's Worldwide,2015,Pop, Quick Edit,128,Xenia Ghali ft. Heymous Molly
92,Black Betty's Worldwide,2015,Pop, Clean Edit,128,Xenia Ghali ft. Heymous Molly
93,Black Betty's Worldwide,2015,—,Extended Mix,128,Xenia Ghali ft. Heymous Molly
94,Broken,2014,Dance,Lyric Video,126,Xenia Ghali ft. Katt Rockell
95,Broken,2014,Dance, Lyric Video Intro Edit*,126,Xenia Ghali ft. Katt Rockell
96,Broken,2014,Dance, Lyric Video Quick Edit*,126,Xenia Ghali ft. Katt Rockell
97,Places,2017,House,GLOWINTHEDARK Remix,127,Xenia Ghali ft. Raquel Castro
98,Places,2017,—,—,124,Xenia Ghali ft. Raquel Castro
99,Places,2017,House,Extended,124,Xenia Ghali ft. Raquel Castro
100,Get Dirty,2015,House,—,128,Xenia Ghali ft. Wyclef Jean
101,Get Dirty,2015,Dance,Clean,128,Xenia Ghali ft. Wyclef Jean
102,Get Dirty,2015,Dance, Quick Edit*,128,Xenia Ghali ft. Wyclef Jean
103,Lonely Lover,2016,Rock,—,93,Xenia Rubinos
104,Jellybeans Easter - Jakob Sinnerlund Remix,2015,Hard House,https://youtu.be/ROlltkGZ_8w,101,Xenius
105,Mi Vision,2012,Hip-Hop,—,94,Xenzei Wu
106,Prices,2012,Hip-Hop,—,92,Xenzei Wu
107,Good & Plenty Love,2013,Dance,Roy's Believer's Dub,126,X Fade ft. Lavette
108,Noche De Pasion,2010,Reggaeton,Radio Edit,98,X-Flo
109,No One Knows,2003,—,Club Mix,126,Xfono
110,Death Piano,—,—,—,200,Xi
111,Tarantallegra (feat. Flowsik),2012,Dance,—,120,Xia
112,Boss Wave,2013,Dance,—,70,Xilent
113,Different,2011,Top 40,—,174,Ximena Sarinana
114,Echo Park,2012,—,—,101,Ximena Sarinana
115,Mediocre,2011,Rock,—,56,Ximena Sarinana
116,Normal,2009,—,—,60,Ximena Sarinana
117,No Vuelvo Mas,2008,—,—,133,Ximena Sarinana
118,Que Tienes,2018,—,—,88,Ximena Sarinana
119,Una Vez Mas,2020,Latin,—,80,Ximena Sarinana
120,Electric Café,—,—,—,82,Xingu Hill
121,Let Me Luv U,2001,—,Electric Boutique Remix,139,X-ite
122,Honey-Suckle,2012,Rock,—,120,Xiu Xiu
123,It Comes Out As A Joke,2019,Rock,—,62,Xiu Xiu
124,Pumpkin Attack On Mommy And Daddy,2019,Rock,Explicit,125,Xiu Xiu
125,Eden,2010,Dubstep,Original Mix,140,xKore
126,Taciturnity,—,—,—,90,X Marks The Pedwalk
127,Ten Miles,—,—,—,78,X Marks The Pedwalk
128,The Past,—,—,—,131,X Marks The Pedwalk
129,The Relapse,—,—,—,141,X Marks The Pedwalk
130,The Shot,—,—,—,120,X Marks The Pedwalk
131,The Trap,—,—,—,132,X Marks The Pedwalk
132,Time Tunnel,—,—,Phase Two,130,X Marks The Pedwalk
133,T.o.l,—,—,—,121,X Marks The Pedwalk
134,Turn Of The Tide,—,—,—,138,X Marks The Pedwalk
135,Why?,—,—,—,131,X Marks The Pedwalk
136,,,,,,
137,Witiak,—,—,—,98,X Marks The Pedwalk
138,Worthless,—,—,Sadness Mix,132,X Marks The Pedwalk
139,You Are Out,—,—,—,132,X Marks The Pedwalk
140,Zest,—,—,—,123,X Marks The Pedwalk
141,(All I Want For Christmas) Is A Soldier Coming Home,2004,Country,—,140,Xmas Balls ft. Monty Lane Allen
142,Be With Me,—,—,—,125,Xorcist
143,Bitchened,—,—,—,123,Xorcist
144,Bitches,—,—,Lucid Mix,122,Xorcist
145,Christy,—,—,—,122,Xorcist
146,I Just Want To Learn,—,—,—,109,Xorcist
147,Iron Helix,—,—,—,121,Xorcist
148,Smells Like Teen Spirit,—,—,—,111,Xorcist
149,The Gift,—,—,—,121,Xorcist
150,The Harmonic Convergence,—,—,—,121,Xorcist
151,Ungdsob,—,—,Bastard Mix,131,Xorcist
152,,,,,,
153,U R The 1,—,—,Fux Version,105,Xorcist
154,Xorcist,—,—,Bleeding Mix,124,Xorcist
155,Move Your Body,2005,Dance,—,124,Xpansions
156,Return To Paradise,2007,—,(The Promise Mix) ISV Video Mix by Josh Blue,135,X-Perience
157,Kill 100,2011,—,UNER Remix,125,X-Press 2
158,Reign Of Drums,2013,—,Original Mix,122,X-Press 2
159,The Sound,1996,—,Nush Pizza X-press Mix,130,X-Press 2
160,Witch Tai To,2008,—,M Factor Remix,128,X-Press 2
161,Lazy,2002,—,Original Mix,130,Xpress 2 Feat. David Byrne
162,Lazy,2002,—,Peace Division Dub,126,X-Press 2 Feat. David Byrne
163,Lazy,2002,—,—,130,X-Press 2 Feat. David Byrne
164,Lazy,2002,—,Norman Cook Remix,130,X-Press 2 Feat. David Byrne
165,Lazy,2008,Dance,—,130,X-Press 2 ft. David Byrne
166,This Is War,2011,—,Original Mix,124,X-Press 2 ft. Doll
167,Time,2010,—,Feygin Remix,125,X-Press 2 Ft. James Yuill
168,Give It,2007,—,—,124,Xpress 2 ft. Kurt Wagner
169,Give It,2007,Dance,—,124,X-Press 2 ft. Kurt Wagner
170,Let Love Decide,2012,—,Art Department Remix,120,X-Press 2 ft. Roland Clark
171,Let Love Decide,2012,—,Art Department Remix,120,X-Press 2 ft. Roland Clark
172,Let Love Decide,2012,—,Art Department Remix,120,X-Press 2 ft. Roland Clark
173,Strange Things,2018,Breaks,Original Mix,128,Xquizit DJ X
174,Strange Things,2018,Breaks,Original Mix,128,Xquizit DJ X
