,title,year,genre,mix,bpm,artist
0,Lalala,2020,House,Oliver Heldens Extended Remix - Explicit,126,Y2K & bbno$
1,Lalala,2019,Hip-Hop,Clean Single Edit,65,Y2K & bbno$
2,Lalala,2019,Electronica,DJ Skillz Uptempo Remix - Intro Explicit,130,Y2K & bbno$
3,Lalala,2019,Hip-Hop,PO Quick Edit,65,Y2K & bbno$
4,Lalala,2019,Hip-Hop,PO Intro Edit,65,Y2K & bbno$
5,Lalala,2019,Pop,Single Remix,65,Y2K & bbno$ ft. Carly Rae Jepsen & Enrique Iglesias
6,How You Feel,2012,—,(Explicit),82,Ya Boy
7,Get Hyper,2011,—,Original Mix,128,Yacek
8,Beam Me Up,2011,—,—,150,YACHT
9,Dystopia,2011,—,—,100,YACHT
10,Holy Roller,2011,—,—,95,YACHT
11,I Thought The Future Would Be Cooler,2015,Dance,—,110,YACHT
12,I Walked Alone,2011,—,—,119,YACHT
13,Love In The Dark,2011,—,—,90,YACHT
14,One Step,2011,—,—,115,YACHT
15,Paradise Engineering,2011,—,—,129,YACHT
16,Shangri-la,2011,—,—,100,YACHT
17,Tripped And Fell In Love,2011,—,—,119,YACHT
18,,,,,,
19,Utopia,2011,—,—,144,YACHT
20,He Loves Me,2020,Christian,—,126,Yael Hilton
21,Come Home,2011,—,—,87,Yael Naim
22,New Soul,2008,Top 40,—,100,Yael Naim
23,New Soul,2008,—,—,100,Yael Naim & David Donatien
24,Piel Que Provoca,2005,—,Remix,96,Yaga ft. Yomo & Mackie
25,Los Anormales,2005,—,—,95,Yaga & Mackie
26,Relajate,2012,Reggaeton,—,87,Yaga & Mackie
27,Soy Tu Bandolero,2005,—,—,97,Yaga & Mackie
28,Aparentemente,2007,Reggaeton,—,94,Yaga & Mackie ft. Arcangel Y De La Ghetto
29,Fuego,2007,—,—,95,Yaga & Mackie ft. Tego Calderon
30,Barbaridades,2010,Reggaeton,—,95,Yaga & Mackie Pres. Hancel 'The Architect'
31,Aparentemente,2007,—,—,94,Yaga & Mackie Ranks ft. Arcangel & De La Ghetto
32,Aparentemente,2007,—,Cumbiaton Remix,94,Yaga & Mackie Ranks ft. Arcangel & De La Ghetto
