,title,year,genre,mix,bpm,artist
0,I Want You,2000,—,Lange Remix,140,Z2
1,Hunting Down Myself,2011,—,Original Mix,127,Z3RO
2,Hunting Down Myself,2012,—,Tommy Noble Mix,128,Z3RO
3,Hunting Down Myself,2011,—,Original Mix,127,Z3RO
4,Hunting Down Myself,2012,—,Tommy Noble Mix,128,Z3RO
5,Somos Familia,2016,Bachata,—,136,Zacarias Ferreira
6,Te Dejo Libre,2009,Bachata,—,130,Zacarias Ferreira
7,Whatever It Is,2009,—,—,84,Zac Brown Band
8,Where The Boat Leaves From,2008,—,—,50,Zac Brown Band
9,As She's Walking Away,2010,—,—,92,Zac Brown Band Feat. Alan Jackson
10,As She's Walking Away,2010,Country,—,92,Zac Brown Band ft. Alan Jackson
11,Knee Deep,2016,Country,—,91,Zac Brown Band ft. Jimmy Buffett
12,Bet On It,2008,Top 40,—,136,Zac Efron
13,Blame Yo Self,2012,—,—,88,Zac Fresh ft. Cyhi The Prynce
14,It's A Beautiful Life,2012,Dance,—,128,Zach
15,In Your Dreams,2007,Country,—,111,Zachary Hunter
16,Two Lonesome Hearts,2006,—,—,130,Zachary Hunter
17,The One,2017,—,Lyric Video,120,Zachary Zamarripa ft. Somni
18,The One,2017,House,Vibonacci & Starward Remix,123,Zachary Zamarripa ft. Somni
19,The One,2017,Deep House,The NightOwls Remix,126,Zachary Zamarripa ft. Somni
20,We Want It All,2004,—,—,145,Zach De La Rocha
21,We Want It All,2004,—,—,145,Zach De La Rocha
22,Enamoraito,2000,—,—,133,Zache
23,Y Tu Lo Sabias?,2002,—,—,159,Zache
24,The New,2012,—,—,98,Zach Matari
25,Tossin' Turnin',2017,House,Chris Bedore Club Mix,122,Zach Matari
26,I'll Stand,2019,—,—,85,Zach Radcliff
27,Four Letter Word,2018,Country,—,74,Zach Stone
28,Sorry & Lonely,2019,Country,—,75,Zach Stone
29,You Saved Me,2012,—,—,60,Zach Taylor Band
30,Chain Breaker,2017,Other,—,78,Zach Williams
31,Fear Is A Liar,2018,Other,—,75,Zach Williams
32,Old Church Choir,2017,Other,—,104,Zach Williams
33,Rescue Story,2019,Christian,—,73,Zach Williams
34,Survivor,2018,Other,Radio Edit,107,Zach Williams
35,There Was Jesus,2020,Other,—,76,Zach Williams ft. Dolly Parton
36,Hold On To Me,2018,Dance,Lyric Video,122,Zack Martino
37,Hold On To Me,2018,Dance,Lyric Video,122,Zack Martino
38,The New,2012,—,—,98,Zack Matari
39,Tempted To Touch,2018,—,Extended Mix,108,Zaeden ft. Rupee
40,Gimme All Your Love,2014,Top 40,—,126,Zaena Morisho
41,Pa' La Rumba Voy,2004,—,—,121,Zafra Negra
42,Que Bonito,2001,—,—,128,Zafra Negra
43,Que No Pare La Fiesta,1999,—,—,127,Zafra Negra
44,Tu Fotografia,2000,—,—,125,Zafra Negra
45,Pa' La Rumba Voy,2004,—,—,121,Zafra Negra
46,Que Bonito,2001,—,—,128,Zafra Negra
47,Que No Pare La Fiesta,1999,—,—,127,Zafra Negra
48,Tu Fotografia,2000,—,—,125,Zafra Negra
49,Con Esta Pena,2007,—,—,82,Zaino
50,Dejame,2009,—,—,69,Zaino
51,Donde Estas Presumida,2008,—,—,52,Zaino
52,Maldita Suerte,2007,—,—,103,Zaino
53,No Podre Sobrevivir,2005,—,—,79,Zaino
54,Encontraras El Amor,2005,—,—,80,Zaino 'Magia Y Juventud'
55,Love Song,2018,Top 40,—,110,Zak Abel
56,You Come First,2019,Top 40,Explicit,100,Zak Abel ft. Saweetie
57,Sleeping Dogs,2016,Rock,—,81,Zakk Wylde
58,La Zota De Copas,2007,—,—,67,Zamacona
59,Mi Mas Bella Herejia,2000,—,—,132,Zamil Jose
60,No Te Rindas,2009,—,—,67,Zammy
61,Heartbroken,2006,—,Zelectro Mix,128,Zamor ft. Althea McQueen
62,Battlefront,2013,—,—,122,Zan
63,Ms. Big & Sobolious,2010,—,—,105,Zan
64,Mercy Me,2018,Top 40,—,100,Zander Bleck
65,Temptation,2012,—,Hype Jones Gone Beastmode Remix,140,Zander Bleck
